Water Depth [inch],Factor
0.0,0.0
0.3937,0.0049
0.7874,0.0098
1.1811,0.0146
1.5748,0.0195
1.9685,0.0244
2.3622,0.0293
2.7559,0.0341
3.1496,0.039
3.5433,0.0439
3.937,0.0488
4.3307,0.0536
4.7244,0.0585
5.1181,0.0634
5.5118,0.0683
5.9055,0.0731
6.2992,0.078
6.6929,0.0829
7.0866,0.0878
7.4803,0.0926
7.874,0.0975
8.2677,0.1024
8.6614,0.1073
9.0551,0.1121
9.4488,0.117
9.8425,0.1219
10.2362,0.1268
10.6299,0.1316
11.0236,0.1365
11.4173,0.1414
11.811,0.1463
12.2047,0.1511
12.5984,0.156
12.9921,0.1609
13.3858,0.1658
13.7795,0.1707
14.1732,0.1755
14.5669,0.1804
14.9606,0.1853
15.3543,0.1902
15.748,0.195
16.1417,0.1999
16.5354,0.2048
16.9291,0.2097
17.3228,0.2145
17.7165,0.2194
18.1102,0.2243
18.5039,0.2292
18.8976,0.234
19.2913,0.2389
19.685,0.2438
20.0787,0.2468
20.4724,0.2498
20.8661,0.2528
21.2598,0.2558
21.6535,0.2588
22.0472,0.2618
22.4409,0.2648
22.8346,0.2678
23.2283,0.2708
23.622,0.2738
24.0157,0.2768
24.4094,0.2798
24.8031,0.2828
25.1969,0.2858
25.5906,0.2888
25.9843,0.2918
26.378,0.2948
26.7717,0.2978
27.1654,0.3008
27.5591,0.3038
27.9528,0.3068
28.3465,0.3098
28.7402,0.3128
29.1339,0.3158
29.5276,0.3188
29.9213,0.3218
30.315,0.3248
30.7087,0.3278
31.1024,0.3308
31.4961,0.3338
31.8898,0.3368
32.2835,0.3398
32.6772,0.3428
33.0709,0.3458
33.4646,0.3488
33.8583,0.3518
34.252,0.3548
34.6457,0.3578
35.0394,0.3608
35.4331,0.3638
35.8268,0.3668
36.2205,0.3698
36.6142,0.3728
37.0079,0.3758
37.4016,0.3788
37.7953,0.3818
38.189,0.3848
38.5827,0.3878
38.9764,0.3908
39.3701,0.3938
39.7638,0.3959
40.1575,0.3979
40.5512,0.4
40.9449,0.402
41.3386,0.4041
41.7323,0.4062
42.126,0.4082
42.5197,0.4103
42.9134,0.4123
43.3071,0.4144
43.7008,0.4165
44.0945,0.4185
44.4882,0.4206
44.8819,0.4227
45.2756,0.4247
45.6693,0.4268
46.063,0.4288
46.4567,0.4309
46.8504,0.433
47.2441,0.435
47.6378,0.4371
48.0315,0.4392
48.4252,0.4412
48.8189,0.4433
49.2126,0.4453
49.6063,0.4474
50,0.4495
50.3937,0.4515
50.7874,0.4536
51.1811,0.4557
51.5748,0.4577
51.9685,0.4598
52.3622,0.4618
52.7559,0.4639
53.1496,0.466
53.5433,0.468
53.937,0.4701
54.3307,0.4721
54.7244,0.4742
55.1181,0.4763
55.5118,0.4783
55.9055,0.4804
56.2992,0.4825
56.6929,0.4845
57.0866,0.4866
57.4803,0.4886
57.874,0.4907
58.2677,0.4928
58.6614,0.4948
59.0551,0.4969
59.4488,0.4989
59.8425,0.5009
60.2362,0.5029
60.6299,0.5049
61.0236,0.5069
61.4173,0.5089
61.811,0.5109
62.2047,0.5129
62.5984,0.5149
62.9921,0.5169
63.3858,0.5189
63.7795,0.5209
64.1732,0.5229
64.5669,0.5249
64.9606,0.5269
65.3543,0.5289
65.748,0.5309
66.1417,0.5329
66.5354,0.5349
66.9291,0.5369
67.3228,0.5389
67.7165,0.5409
68.1102,0.5429
68.5039,0.5449
68.8976,0.5469
69.2913,0.5489
69.685,0.5509
70.0787,0.5529
70.4724,0.5549
70.8661,0.5569
71.2598,0.5589
71.6535,0.5609
72.0472,0.5629
72.4409,0.5649
72.8346,0.5669
73.2283,0.5689
73.622,0.5709
74.0157,0.5729
74.4094,0.5749
74.8031,0.5769
75.1969,0.5789
75.5906,0.5809
75.9843,0.5829
76.378,0.5849
76.7717,0.5869
77.1654,0.5889
77.5591,0.5909
77.9528,0.5929
78.3465,0.5949
78.7402,0.5969
79.1339,0.5984
79.5276,0.6
79.9213,0.6015
80.315,0.603
80.7087,0.6045
81.1024,0.6061
81.4961,0.6076
81.8898,0.6091
82.2835,0.6107
