Water Depth [inch],Factor
0.0,0.0
0.3937,0.0074
0.7874,0.0149
1.1811,0.0223
1.5748,0.0297
1.9685,0.0372
2.3622,0.0446
2.7559,0.0521
3.1496,0.0595
3.5433,0.0669
3.937,0.0744
4.3307,0.0818
4.7244,0.0892
5.1181,0.0967
5.5118,0.1041
5.9055,0.1116
6.2992,0.119
6.6929,0.1264
7.0866,0.1339
7.4803,0.1413
7.874,0.1487
8.2677,0.1562
8.6614,0.1636
9.0551,0.171
9.4488,0.1785
9.8425,0.1859
10.2362,0.1934
10.6299,0.2008
11.0236,0.2082
11.4173,0.2157
11.811,0.2231
12.2047,0.2305
12.5984,0.238
12.9921,0.2454
13.3858,0.2529
13.7795,0.2603
14.1732,0.2677
14.5669,0.2752
14.9606,0.2826
15.3543,0.29
15.748,0.2975
16.1417,0.3049
16.5354,0.3124
16.9291,0.3198
17.3228,0.3272
17.7165,0.3347
18.1102,0.3421
18.5039,0.3495
18.8976,0.357
19.2913,0.3644
19.685,0.3718
20.0787,0.3754
20.4724,0.379
20.8661,0.3826
21.2598,0.3862
21.6535,0.3898
22.0472,0.3933
22.4409,0.3969
22.8346,0.4005
23.2283,0.4041
23.622,0.4077
24.0157,0.4112
24.4094,0.4148
24.8031,0.4184
25.1969,0.422
25.5906,0.4256
25.9843,0.4292
26.378,0.4327
26.7717,0.4363
27.1654,0.4399
27.5591,0.4435
27.9528,0.4471
28.3465,0.4507
28.7402,0.4542
29.1339,0.4578
29.5276,0.4614
29.9213,0.465
30.315,0.4686
30.7087,0.4721
31.1024,0.4757
31.4961,0.4793
31.8898,0.4829
32.2835,0.4865
32.6772,0.4901
33.0709,0.4936
33.4646,0.4972
33.8583,0.5008
34.252,0.5044
34.6457,0.508
35.0394,0.5115
35.4331,0.5151
35.8268,0.5187
36.2205,0.5223
36.6142,0.5259
37.0079,0.5295
37.4016,0.533
37.7953,0.5366
38.189,0.5402
38.5827,0.5438
38.9764,0.5474
39.3701,0.5509
39.7638,0.5533
40.1575,0.5557
40.5512,0.558
40.9449,0.5604
41.3386,0.5628
41.7323,0.5651
42.126,0.5675
42.5197,0.5699
42.9134,0.5722
43.3071,0.5746
43.7008,0.5769
44.0945,0.5793
44.4882,0.5817
44.8819,0.584
45.2756,0.5864
45.6693,0.5888
46.063,0.5911
46.4567,0.5935
46.8504,0.5958
47.2441,0.5982
47.6378,0.6006
48.0315,0.6029
48.4252,0.6053
48.8189,0.6077
49.2126,0.61
49.6063,0.6124
50,0.6147
50.3937,0.6171
50.7874,0.6195
