Water Depth [m],Factor
0.0,0.0
0.01,0.005
0.02,0.01
0.03,0.015
0.04,0.02
0.05,0.025
0.06,0.03
0.07,0.035
0.08,0.04
0.09,0.045
0.1,0.05
0.11,0.055
0.12,0.06
0.13,0.065
0.14,0.07
0.15,0.075
0.16,0.08
0.17,0.085
0.18,0.09
0.19,0.095
0.2,0.1
0.21,0.105
0.22,0.11
0.23,0.115
0.24,0.12
0.25,0.125
0.26,0.13
0.27,0.135
0.28,0.14
0.29,0.145
0.3,0.15
0.31,0.155
0.32,0.16
0.33,0.165
0.34,0.17
0.35,0.175
0.36,0.18
0.37,0.185
0.38,0.19
0.39,0.195
0.4,0.2
0.41,0.205
0.42,0.21
0.43,0.215
0.44,0.22
0.45,0.225
0.46,0.23
0.47,0.235
0.48,0.24
0.49,0.245
0.5,0.25
0.51,0.2534
0.52,0.2568
0.53,0.2602
0.54,0.2636
0.55,0.267
0.56,0.2704
0.57,0.2738
0.58,0.2772
0.59,0.2806
0.6,0.284
0.61,0.2874
0.62,0.2908
0.63,0.2942
0.64,0.2976
0.65,0.301
0.66,0.3044
0.67,0.3078
0.68,0.3112
0.69,0.3146
0.7,0.318
0.71,0.3214
0.72,0.3248
0.73,0.3282
0.74,0.3316
0.75,0.335
0.76,0.3384
0.77,0.3418
0.78,0.3452
0.79,0.3486
0.8,0.352
0.81,0.3554
0.82,0.3588
0.83,0.3622
0.84,0.3656
0.85,0.369
0.86,0.3724
0.87,0.3758
0.88,0.3792
0.89,0.3826
0.9,0.386
0.91,0.3894
0.92,0.3928
0.93,0.3962
0.94,0.3996
0.95,0.403
0.96,0.4064
0.97,0.4098
0.98,0.4132
0.99,0.4166
1,0.42
1.01,0.4226
1.02,0.4252
1.03,0.4278
1.04,0.4304
1.05,0.433
1.06,0.4356
1.07,0.4382
1.08,0.4408
1.09,0.4434
1.1,0.446
1.11,0.4486
1.12,0.4512
1.13,0.4538
1.14,0.4564
1.15,0.459
1.16,0.4616
1.17,0.4642
1.18,0.4668
1.19,0.4694
1.2,0.472
1.21,0.4746
1.22,0.4772
1.23,0.4798
1.24,0.4824
1.25,0.485
1.26,0.4876
1.27,0.4902
1.28,0.4928
1.29,0.4954
1.3,0.498
1.31,0.5006
1.32,0.5032
1.33,0.5058
1.34,0.5084
1.35,0.511
1.36,0.5136
1.37,0.5162
1.38,0.5188
1.39,0.5214
1.4,0.524
1.41,0.5266
1.42,0.5292
1.43,0.5318
1.44,0.5344
1.45,0.537
1.46,0.5396
1.47,0.5422
1.48,0.5448
1.49,0.5474
1.5,0.55
1.51,0.552
1.52,0.554
1.53,0.556
1.54,0.558
1.55,0.56
1.56,0.562
1.57,0.564
1.58,0.566
1.59,0.568
1.6,0.57
1.61,0.572
1.62,0.574
1.63,0.576
1.64,0.578
1.65,0.58
1.66,0.582
1.67,0.584
1.68,0.586
1.69,0.588
1.7,0.59
1.71,0.592
1.72,0.594
1.73,0.596
1.74,0.598
1.75,0.6
1.76,0.602
1.77,0.604
1.78,0.606
1.79,0.608
1.8,0.61
1.81,0.612
1.82,0.614
1.83,0.616
1.84,0.618
1.85,0.62
1.86,0.622
1.87,0.624
1.88,0.626
1.89,0.628
1.9,0.63
1.91,0.632
1.92,0.634
1.93,0.636
1.94,0.638
1.95,0.64
1.96,0.642
1.97,0.644
1.98,0.646
1.99,0.648
2,0.65
2.01,0.6515
2.02,0.653
2.03,0.6545
2.04,0.656
2.05,0.6575
2.06,0.659
2.07,0.6605
2.08,0.662
2.09,0.6635
2.1,0.665
2.11,0.6665
2.12,0.668
2.13,0.6695
2.14,0.671
2.15,0.6725
2.16,0.674
2.17,0.6755
2.18,0.677
2.19,0.6785
2.2,0.68
2.21,0.6815
2.22,0.683
2.23,0.6845
2.24,0.686
2.25,0.6875
2.26,0.689
2.27,0.6905
2.28,0.692
2.29,0.6935
2.3,0.695
2.31,0.6965
2.32,0.698
2.33,0.6995
2.34,0.701
2.35,0.7025
2.36,0.704
2.37,0.7055
2.38,0.707
2.39,0.7085
2.4,0.71
2.41,0.7115
2.42,0.713
2.43,0.7145
2.44,0.716
2.45,0.7175
2.46,0.719
2.47,0.7205
2.48,0.722
2.49,0.7235
2.5,0.725
2.51,0.7265
2.52,0.728
2.53,0.7295
2.54,0.731
2.55,0.7325
2.56,0.734
2.57,0.7355
2.58,0.737
2.59,0.7385
2.6,0.74
2.61,0.7415
2.62,0.743
2.63,0.7445
2.64,0.746
2.65,0.7475
2.66,0.749
2.67,0.7505
2.68,0.752
2.69,0.7535
2.7,0.755
2.71,0.7565
2.72,0.758
2.73,0.7595
2.74,0.761
2.75,0.7625
2.76,0.764
2.77,0.7655
2.78,0.767
2.79,0.7685
2.8,0.77
2.81,0.7715
2.82,0.773
2.83,0.7745
2.84,0.776
2.85,0.7775
2.86,0.779
2.87,0.7805
2.88,0.782
2.89,0.7835
2.9,0.785
2.91,0.7865
2.92,0.788
2.93,0.7895
2.94,0.791
2.95,0.7925
2.96,0.794
2.97,0.7955
2.98,0.797
2.99,0.7985
3,0.8
3.01,0.801
3.02,0.802
3.03,0.803
3.04,0.804
3.05,0.805
3.06,0.806
3.07,0.807
3.08,0.808
3.09,0.809
3.1,0.81
3.11,0.811
3.12,0.812
3.13,0.813
3.14,0.814
3.15,0.815
3.16,0.816
3.17,0.817
3.18,0.818
3.19,0.819
3.2,0.82
3.21,0.821
3.22,0.822
3.23,0.823
3.24,0.824
3.25,0.825
3.26,0.826
3.27,0.827
3.28,0.828
3.29,0.829
3.3,0.83
3.31,0.831
3.32,0.832
3.33,0.833
3.34,0.834
3.35,0.835
3.36,0.836
3.37,0.837
3.38,0.838
3.39,0.839
3.4,0.84
3.41,0.841
3.42,0.842
3.43,0.843
3.44,0.844
3.45,0.845
3.46,0.846
3.47,0.847
3.48,0.848
3.49,0.849
3.5,0.85
3.51,0.851
3.52,0.852
3.53,0.853
3.54,0.854
3.55,0.855
3.56,0.856
3.57,0.857
3.58,0.858
3.59,0.859
3.6,0.86
3.61,0.861
3.62,0.862
3.63,0.863
3.64,0.864
3.65,0.865
3.66,0.866
3.67,0.867
3.68,0.868
3.69,0.869
3.7,0.87
3.71,0.871
3.72,0.872
3.73,0.873
3.74,0.874
3.75,0.875
3.76,0.876
3.77,0.877
3.78,0.878
3.79,0.879
3.8,0.88
3.81,0.881
3.82,0.882
3.83,0.883
3.84,0.884
3.85,0.885
3.86,0.886
3.87,0.887
3.88,0.888
3.89,0.889
3.9,0.89
3.91,0.891
3.92,0.892
3.93,0.893
3.94,0.894
3.95,0.895
3.96,0.896
3.97,0.897
3.98,0.898
3.99,0.899
4,0.9
4.01,0.901
4.02,0.902
4.03,0.903
4.04,0.904
4.05,0.905
4.06,0.906
4.07,0.907
4.08,0.908
4.09,0.909
4.1,0.91
4.11,0.911
4.12,0.912
4.13,0.913
4.14,0.914
4.15,0.915
4.16,0.916
4.17,0.917
4.18,0.918
