Object ID,Object Name,Primary Object Type,Secondary Object Type,Max Potential Damage: Structure,Max Potential Damage: Content,Ground Elevation,X Coordinate,Y Coordinate,Aggregation Label: Census Block,Ground Floor Height,Extraction Method,Damage Function: Structure,Damage Function: Content,geometry,Zoning_map,Land_use_map
574486973,574486973,RES,RES3A,480189.335,240094.667,7.298348065,-79.93682513,32.77688289,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.93682513 32.776882893),DR-1F,Neighborhood
573783417,573783417,COM,RES4,1177614.2,588807.1,8.381748562,-79.93000008,32.77054524,450000000000000.0,1,centroid,RES4,RES4,POINT (-79.93000008 32.770545239),SR-3,Neighborhood
573783433,573783433,COM,RES4,476216.254,238108.127,7.374183635,-79.92968382,32.7712713,450000000000000.0,1,centroid,RES4,RES4,POINT (-79.92968382 32.771271301),SR-4,Neighborhood
573785665,573785665,RES,RES1-2SNB,330007.42,165003.71,7.36403129,-79.93179589,32.77336473,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.93179589 32.773364727),SR-5,Neighborhood
574346729,574346729,RES,RES3A,472285.148,236142.574,10.90203092,-79.93064525,32.77485433,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.93064525 32.774854333),SR-5,Neighborhood
574372707,574372707,RES,RES1-3SNB,389363.808,194681.904,6.365223632,-79.93187273,32.77098914,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.93187273 32.770989143),SR-3,Neighborhood
574372721,574372721,RES,RES3A,503924.421,251962.21,7.12000971,-79.93191719,32.77164194,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.93191719 32.771641938),SR-4,Neighborhood
574476728,574476728,RES,RES1-1SNB,96964.414,48482.207,5.867157192,-79.93241085,32.76996811,450000000000000.0,1,centroid,RES1-1SNB,RES1-1SNB,POINT (-79.93241085 32.769968112),GB,Neighborhood
574476811,574476811,RES,RES1-1SNB,152049.256,76024.6281,5.867157192,-79.93241085,32.76996811,450000000000000.0,1,centroid,RES1-1SNB,RES1-1SNB,POINT (-79.93241085 32.769968112),GB,Neighborhood
574486899,574486899,RES,RES3A,480189.335,240094.667,12.33366492,-79.93027436,32.77536076,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.93027436 32.775360757),SR-3,Neighborhood
574486932,574486932,RES,RES1-1SNB,177705.21,88852.6051,6.460120566,-79.92998998,32.77314466,450000000000000.0,1,centroid,RES1-1SNB,RES1-1SNB,POINT (-79.92998998 32.773144664),SR-4,Neighborhood
573827729,573827729,COM,COM8,37755.4885,37755.4885,11.17279794,-79.93080905,32.77672792,450000000000000.0,1,centroid,COM8,COM8,POINT (-79.93080905 32.776727923),LB,Park
574421669,574421669,RES,RES3A,170840.757,85420.3788,11.52017961,-79.92907633,32.7771126,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.92907633 32.777112595),LB,Neighborhood
