object_id,object_name,primary_object_type,secondary_object_type,max_damage_structure,max_damage_content,ground_elevtn,Aggregation Label: Census Block,ground_flht,extract_method,fn_damage_structure
573783417,573783417,COM,RES4,1177614.2,588807.1,8.381748562,4.5019E+14,1,centroid,RES4
573783433,573783433,COM,RES4,476216.254,238108.127,7.374183635,4.5019E+14,1,centroid,RES4
573785665,573785665,RES,RES1-2SNB,330007.42,165003.71,7.36403129,4.5019E+14,1,centroid,RES1-2SNB
574346729,574346729,RES,RES3A,472285.148,236142.574,10.90203092,4.5019E+14,1,centroid,RES3A
574372707,574372707,RES,RES1-3SNB,389363.808,194681.904,6.365223632,4.5019E+14,1,centroid,RES1-3SNB
574372721,574372721,RES,RES3A,503924.421,251962.21,7.12000971,4.5019E+14,1,centroid,RES3A
574476728,574476728,RES,RES1-1SNB,96964.414,48482.207,5.867157192,4.5019E+14,1,centroid,RES1-1SNB
574476811,574476811,RES,RES1-1SNB,152049.256,76024.6281,5.867157192,4.5019E+14,1,centroid,RES1-1SNB
574486899,574486899,RES,RES3A,480189.335,240094.667,12.33366492,4.5019E+14,1,centroid,RES3A
574486932,574486932,RES,RES1-1SNB,177705.21,88852.6051,6.460120566,4.5019E+14,1,centroid,RES1-1SNB
574372378,574372378,RES,RES1-3SNB,275317.367,137658.683,11.55386484,4.5019E+14,1,centroid,RES1-3SNB
574421614,574421614,PUB,REL1,1834696.67,1834696.67,-4.999869299,4.5019E+14,1,centroid,REL1
574437143,574437143,COM,COM2,642736.815,642736.815,9.078115437,4.5019E+14,1,centroid,COM2
574446459,574446459,RES,RES1-3SNB,483801.666,241900.833,-4.999869299,4.5019E+14,1,centroid,RES1-3SNB
574488867,574488867,RES,RES1-2SNB,261232.301,130616.15,9.352340616,4.5019E+14,1,centroid,RES1-2SNB
573779435,573779435,COM,COM8,2419416.79,2419416.79,9.368649761,4.5019E+14,1,centroid,COM8
573783353,573783353,RES,RES1-3SNB,303173.642,151586.821,12.80090668,4.5019E+14,1,centroid,RES1-3SNB
573827729,573827729,COM,COM8,37755.4885,37755.4885,11.17279794,4.5019E+14,1,centroid,COM8
574421669,574421669,RES,RES3A,170840.757,85420.3788,11.52017961,4.5019E+14,1,centroid,RES3A
574451480,574451480,COM,COM5,833172.397,833172.397,6.471536185,4.5019E+14,1,centroid,COM5
574461033,574461033,RES,RES3A,455033.853,227516.926,9.464215878,4.5019E+14,1,centroid,RES3A
574488693,574488693,RES,RES1-1SNB,209832.08,104916.04,6.431211139,4.5019E+14,1,centroid,RES1-1SNB
574488726,574488726,RES,RES1-1SNB,224902.098,112451.049,9.339365263,4.5019E+14,1,centroid,RES1-1SNB
574488773,574488773,RES,RES1-1SNB,203264.754,101632.377,12.69452178,4.5019E+14,1,centroid,RES1-1SNB
574488781,574488781,RES,RES1-3SNB,374871.082,187435.541,5.99898202,4.5019E+14,1,centroid,RES1-3SNB
573387882,573387882,PUB,EDU1,68439.9689,68439.9689,10.44129248,4.5019E+14,1,centroid,EDU1
573467952,573467952,RES,RES3A,362545.684,181272.842,8.012992916,4.5019E+14,1,centroid,RES3A
573467954,573467954,RES,RES1-1SNB,199509.532,99754.7661,8.37879336,4.5019E+14,1,centroid,RES1-1SNB
573467966,573467966,RES,RES1-1SNB,120393.335,60196.6675,9.856602184,4.5019E+14,1,centroid,RES1-1SNB
573782570,573782570,RES,RES1-2SNB,319100.1,159550.05,8.620308729,4.5019E+14,1,centroid,RES1-2SNB
573783130,573783130,RES,RES1-2SNB,359597.275,179798.637,12.57236197,4.5019E+14,1,centroid,RES1-2SNB
573783164,573783164,RES,RES1-3SNB,456923.213,228461.606,8.737245693,4.5019E+14,1,centroid,RES1-3SNB
573783333,573783333,RES,RES3A,503261.657,251630.828,10.19067215,4.5019E+14,1,centroid,RES3A
573783427,573783427,RES,RES1-3SWB,780064.073,390032.036,7.003932399,4.5019E+14,1,centroid,RES1-3SWB
573783441,573783441,RES,RES1-2SNB,438450.77,219225.385,7.641946951,4.5019E+14,1,centroid,RES1-2SNB
573783447,573783447,RES,RES3A,483101.436,241550.718,8.568949392,4.5019E+14,1,centroid,RES3A
573785448,573785448,COM,COM1,570343.785,570343.785,11.88090505,4.5019E+14,1,centroid,COM1
573785816,573785816,RES,RES1-2SNB,342424.316,171212.158,10.15392143,4.5019E+14,1,centroid,RES1-2SNB
573785864,573785864,RES,RES1-2SNB,160586.772,80293.3862,11.29505786,4.5019E+14,1,centroid,RES1-2SNB
573785925,573785925,RES,RES3A,719359.22,359679.61,6.964915604,4.5019E+14,1,centroid,RES3A
573785962,573785962,RES,RES1-2SNB,316735.013,158367.506,9.731189158,4.5019E+14,1,centroid,RES1-2SNB
573789014,573789014,RES,RES1-3SNB,556818.256,278409.128,6.491396187,4.5019E+14,1,centroid,RES1-3SNB
573789019,573789019,RES,RES1-2SNB,286631.996,143315.998,5.509031042,4.5019E+14,1,centroid,RES1-2SNB
573789026,573789026,RES,RES3A,558479.221,279239.61,6.404198188,4.5019E+14,1,centroid,RES3A
573789160,573789160,COM,RES4,377058.032,188529.016,6.82018504,4.5019E+14,1,centroid,RES4
573789173,573789173,RES,RES3A,302633.914,151316.957,6.443332314,4.5019E+14,1,centroid,RES3A
573789181,573789181,RES,RES1-2SNB,206939.675,103469.837,8.957930724,4.5019E+14,1,centroid,RES1-2SNB
573789195,573789195,COM,COM8,1517702.41,1517702.41,9.056210338,4.5019E+14,1,centroid,COM8
573789340,573789340,RES,RES1-2SNB,327023.262,163511.631,4.689106159,4.5019E+14,1,centroid,RES1-2SNB
573789361,573789361,RES,RES1-1SNB,298957.196,149478.598,6.583678964,4.5019E+14,1,centroid,RES1-1SNB
573795548,573795548,RES,RES1-2SNB,469463.63,234731.815,3.871138764,4.5019E+14,1,centroid,RES1-2SNB
573795699,573795699,RES,RES1-1SNB,135672.901,67836.4506,4.104262159,4.5019E+14,1,centroid,RES1-1SNB
573800815,573800815,RES,RES1-3SWB,399414.321,199707.16,7.180729011,4.5019E+14,1,centroid,RES1-3SWB
573827798,573827798,RES,RES3A,448490.714,224245.357,10.32219817,4.5019E+14,1,centroid,RES3A
573827800,573827800,RES,RES1-1SNB,181563.67,90781.835,9.580039753,4.5019E+14,1,centroid,RES1-1SNB
573831730,573831730,RES,RES3A,205336.005,102668.002,11.93792996,4.5019E+14,1,centroid,RES3A
573831821,573831821,COM,COM2,104939.595,104939.595,10.03982468,4.5019E+14,1,centroid,COM2
573850799,573850799,COM,COM1,205297.671,205297.671,8.30710039,4.5019E+14,1,centroid,COM1
573860243,573860243,RES,RES3B,493484.753,246742.376,5.002420096,4.5019E+14,1,centroid,RES3B
574268207,574268207,RES,RES3A,427020.79,213510.395,8.950609208,4.5019E+14,1,centroid,RES3A
574268219,574268219,RES,RES3B,352245.479,176122.739,9.261483422,4.5019E+14,1,centroid,RES3B
574268595,574268595,RES,RES3A,443323.388,221661.694,4.94717355,4.5019E+14,1,centroid,RES3A
574268597,574268597,RES,RES1-2SNB,437360.158,218680.079,5.201977157,4.5019E+14,1,centroid,RES1-2SNB
574268706,574268706,RES,RES3A,521059.31,260529.655,4.805387237,4.5019E+14,1,centroid,RES3A
574268907,574268907,RES,RES3B,489917.358,244958.679,5.609749989,4.5019E+14,1,centroid,RES3B
574268926,574268926,RES,RES3A,625595.694,312797.847,5.074223358,4.5019E+14,1,centroid,RES3A
574269135,574269135,RES,RES3A,318561.495,159280.747,3.712516485,4.5019E+14,1,centroid,RES3A
574269195,574269195,RES,RES1-2SNB,432462.562,216231.281,7.467605706,4.5019E+14,1,centroid,RES1-2SNB
574294815,574294815,COM,COM4,1760352.08,1760352.08,5.55061819,4.5019E+14,1,centroid,COM4
574295941,574295941,RES,RES1-2SNB,189126.984,94563.4922,4.288736976,4.5019E+14,1,centroid,RES1-2SNB
574296073,574296073,RES,RES1-1SNB,333941.904,166970.952,4.209198799,4.5019E+14,1,centroid,RES1-1SNB
574346751,574346751,RES,RES1-2SNB,359456.617,179728.308,13.39830169,4.5019E+14,1,centroid,RES1-2SNB
574371565,574371565,COM,COM4,101801.883,101801.883,12.46572989,4.5019E+14,1,centroid,COM4
574371581,574371581,IND,IND2,41563.4205,62345.1308,11.10583814,4.5019E+14,1,centroid,IND2
574371591,574371591,COM,COM5,306327.578,306327.578,11.09875676,4.5019E+14,1,centroid,COM5
574371783,574371783,RES,RES1-2SNB,174016.803,87008.4018,10.73720139,4.5019E+14,1,centroid,RES1-2SNB
574371920,574371920,RES,RES3A,428813.993,214406.996,6.443989374,4.5019E+14,1,centroid,RES3A
574372557,574372557,COM,COM4,388628.286,388628.286,13.25995007,4.5019E+14,1,centroid,COM4
574372970,574372970,RES,RES1-2SNB,158239.456,79119.7281,10.31465529,4.5019E+14,1,centroid,RES1-2SNB
574372985,574372985,RES,RES1-2SNB,190842.768,95421.384,8.877666262,4.5019E+14,1,centroid,RES1-2SNB
574409645,574409645,PUB,REL1,464815.304,464815.304,10.92050289,4.5019E+14,1,centroid,REL1
574409651,574409651,COM,COM4,158221.99,158221.99,12.52613552,4.5019E+14,1,centroid,COM4
574409955,574409955,RES,RES1-2SNB,327402.067,163701.033,5.747922477,4.5019E+14,1,centroid,RES1-2SNB
574409957,574409957,RES,RES1-3SNB,346937.745,173468.872,5.75426075,4.5019E+14,1,centroid,RES1-3SNB
574421673,574421673,COM,COM7,102504.455,153756.682,11.52017961,4.5019E+14,1,centroid,COM7
574421941,574421941,COM,RES5,1451765.99,725882.998,10.7840497,4.5019E+14,1,centroid,RES5
574431443,574431443,RES,RES1-1SNB,287437.24,143718.62,4.927836849,4.5019E+14,1,centroid,RES1-1SNB
574446469,574446469,PUB,REL1,760348.057,760348.057,12.11879173,4.5019E+14,1,centroid,REL1
574446473,574446473,PUB,REL1,319528.811,319528.811,9.306437998,4.5019E+14,1,centroid,REL1
574447808,574447808,COM,COM3,300218.815,300218.815,11.56122155,4.5019E+14,1,centroid,COM3
574461015,574461015,RES,RES3A,266985.928,133492.964,5.596845817,4.5019E+14,1,centroid,RES3A
574486752,574486752,RES,RES1-1SNB,122431.721,61215.8606,7.857602351,4.5019E+14,1,centroid,RES1-1SNB
574486758,574486758,RES,RES1-1SNB,194521.546,97260.773,5.292727578,4.5019E+14,1,centroid,RES1-1SNB
574486770,574486770,RES,RES1-2SNB,222200.794,111100.397,6.284586445,4.5019E+14,1,centroid,RES1-2SNB
574486776,574486776,RES,RES1-2SNB,265832.443,132916.221,6.284586445,4.5019E+14,1,centroid,RES1-2SNB
574486861,574486861,RES,RES1-2SNB,273499.346,136749.673,6.973802328,4.5019E+14,1,centroid,RES1-2SNB
574486874,574486874,RES,RES1-1SNB,209170.815,104585.407,8.357450673,4.5019E+14,1,centroid,RES1-1SNB
574486913,574486913,RES,RES1-3SNB,476983.788,238491.894,6.6578977,4.5019E+14,1,centroid,RES1-3SNB
574486922,574486922,RES,RES1-1SNB,198413.344,99206.6723,5.276184942,4.5019E+14,1,centroid,RES1-1SNB
