Country,ISO A3 code,Construction Cost Residential (2010 €),Construction Cost Commercial (2010 €),Construction Cost Industrial (2010 €),GDP per capita (2010 US$)
Afghanistan,AFG,275.790831,323.1586611,241.0331217,561.1976175
Albania,ALB,597.450818,662.0776912,462.6412974,4175.121638
Algeria,DZA,606.945797,671.8348045,468.835172,4349.569325
American Samoa,ASM,0,0,0,
Andorra,AND,0,0,0,
Angola,AGO,599.8424625,664.5364111,464.2028853,4218.649126
Antigua and Barbuda,ATG,925.8358632,994.0579546,669.4173335,13017.31039
Argentina,ARG,881.5030426,949.8160048,642.2775019,11460.37615
Armenia,ARM,534.3491473,596.9397752,421.0716996,3124.784854
Aruba,ABW,1177.283822,1242.30466,819.8028211,24289.14152
Australia,AUS,1576.098086,1628.49359,1048.521336,51800.93139
Austria,AUT,1511.201454,1566.185027,1011.987128,46444.18444
Azerbaijan,AZE,680.0220464,746.5730574,516.0173514,5842.805784
"Bahamas, The",BHS,1132.084932,1197.989467,793.1745966,21941.8693
Bahrain,BHR,1103.780434,1170.17358,776.414905,20545.96702
Bangladesh,BGD,310.4029399,360.625262,266.308433,762.8037395
Barbados,BRB,997.8679814,1065.620182,713.0866498,15812.27978
Belarus,BLR,678.9469233,745.4778393,515.3291481,5818.854859
Belgium,BEL,1484.68729,1540.673085,996.9904855,44358.26064
Belize,BLZ,616.3835677,681.5222187,474.9767133,4527.336639
Benin,BEN,298.6383882,347.9260805,257.7695017,690.0022811
Bermuda,BMU,1934.767604,1969.723079,1246.474681,88207.32756
Bhutan,BTN,467.7154928,527.5476903,376.3289318,2211.340513
Bolivia,BOL,444.243464,502.9384002,360.3356987,1934.666067
Bosnia and Herzegovina,BIH,608.6103253,673.544147,469.9194277,4380.604285
Botswana,BWA,728.2528456,795.5798592,546.7199689,6980.361812
Brazil,BRA,867.0295965,935.3378024,633.3712371,10978.26024
Brunei Darussalam,BRN,1291.355959,1353.612025,886.3121928,30880.34486
Bulgaria,BGR,711.9044621,778.995481,536.3496982,6580.813875
Burkina Faso,BFA,281.6373864,329.510134,245.3358608,592.6074699
Burundi,BDI,192.1160722,231.0636218,177.6806883,219.5297995
Cabo Verde,CPV,552.8374016,616.079408,433.3271136,3413.26337
Cambodia,KHM,313.4844445,363.945784,268.5366067,782.6188886
Cameroon,CMR,363.0163506,417.0123338,303.9067621,1145.368992
Canada,CAN,1523.914831,1578.406357,1019.163284,47465.34593
Cayman Islands,CYM,0,0,0,
Central African Republic,CAF,254.718351,300.1839723,225.4036291,456.5634087
Chad,TCD,332.1348161,383.993383,281.9505512,909.2999069
Channel Islands,CHA,0,0,0,
Chile,CHL,916.5691459,984.8231166,663.7615377,12681.7652
China,CHN,611.4222514,676.4310131,471.7500326,4433.340886
Colombia,COL,694.8690263,761.6848526,525.5038566,6179.770329
Comoros,COM,309.4612565,359.6100632,265.6268313,756.8106118
"Congo, Dem. Rep.",COD,229.0934606,272.0590788,206.1207618,346.7042747
"Congo, Rep.",COG,520.6060175,582.6815345,411.9187266,2920.406708
Costa Rica,CRI,759.0653322,826.7646519,566.16709,7773.185487
Cote d'Ivoire,CIV,382.4394043,437.6749266,317.5654555,1311.326565
Croatia,HRV,938.9350803,1007.100749,677.3971539,13500.85443
Cuba,CUB,673.6603667,740.0906478,511.9426519,5701.962671
Curacao,CUW,0,0,0,
Cyprus,CYP,1241.656317,1305.20806,857.4530452,27889.03718
Czech Republic,CZE,1087.405517,1154.0579,766.6883148,19764.01554
Denmark,DNK,1642.382404,1691.943646,1085.594448,57647.92502
Djibouti,DJI,387.0973395,442.6187238,320.824687,1353.193028
Dominica,DMA,726.0971561,793.3946024,545.3546531,6926.847597
Dominican Republic,DOM,654.7359791,720.7808145,499.7855535,5295.39969
Ecuador,ECU,622.0766024,687.360658,478.6742762,4636.693098
"Egypt, Arab Rep.",EGY,512.4796597,574.2378458,406.4887842,2803.532963
El Salvador,SLV,554.7780738,618.0857491,434.6097835,3444.456148
Equatorial Guinea,GNQ,1017.629948,1085.186967,724.9797255,16638.13107
Eritrea,ERI,234.5981433,278.1191478,210.2903648,368.7477582
Estonia,EST,968.4306262,1036.421489,695.3020278,14629.64939
Ethiopia,ETH,228.3242145,271.2113894,205.5368436,343.6901516
Faeroe Islands,FRO,0,0,0,
Fiji,FJI,567.2667272,630.9849618,442.8473691,3649.382362
Finland,FIN,1508.166341,1563.266288,1010.272543,46202.41516
France,FRA,1436.35291,1494.080603,969.5434816,40706.07833
French Polynesia,PYF,0,0,0,
Gabon,GAB,815.4430557,883.5900983,601.434557,9362.113583
"Gambia, The",GMB,276.7630811,324.2155444,241.7496257,566.3481084
Georgia,GEO,498.8281616,560.0314127,397.3364967,2613.756925
Germany,DEU,1450.075218,1507.319721,977.3502816,41723.3659
Ghana,GHA,384.0924639,439.4299309,318.7228352,1326.092033
Greece,GRC,1223.830116,1287.812776,847.0581133,26861.4598
Greenland,GRL,0,0,0,
Grenada,GRD,743.4820588,811.0047431,556.3475655,7365.666529
Guam,GUM,0,0,0,
Guatemala,GTM,517.9847047,579.9589069,410.1686539,2882.386026
Guinea,GIN,250.114583,295.1467169,221.9625409,435.448888
Guinea-Bissau,GNB,270.592359,317.5030796,237.1953335,534.1475781
Guyana,GUY,517.4003498,579.3518311,409.7783311,2873.952008
Haiti,HTI,295.1353889,344.1378689,255.2168608,669.1869294
Honduras,HND,456.6712768,515.979746,368.8197349,2078.32576
"Hong Kong SAR, China",HKG,1317.816811,1379.327906,901.6060265,32549.99823
Hungary,HUN,924.2232407,992.4513611,668.4337339,12958.53036
Iceland,ISL,1449.7087,1506.966227,977.1419154,41695.99365
India,IND,394.0367851,449.9761073,325.6689774,1417.073614
Indonesia,IDN,522.4035424,584.5479623,413.1180146,2946.656061
"Iran, Islamic Rep.",IRN,672.4280463,738.8344312,511.1526473,5674.923927
Iraq,IRQ,613.5608975,678.626014,473.14144,4473.71044
Ireland,IRL,1529.285536,1583.566984,1022.191997,47900.83929
Isle of Man,IMN,0,0,0,
Israel,ISR,1286.031985,1348.433368,883.2291431,30550.9204
Italy,ITA,1368.137169,1428.129461,930.5586385,35875.72655
Jamaica,JAM,636.3032182,701.9338614,487.8912838,4917.023202
Japan,JPN,1468.555098,1525.134621,987.8454877,43117.82967
Jordan,JOR,608.0810369,673.0006451,469.5747053,4370.721045
Kazakhstan,KAZ,805.5689623,873.6586347,595.286063,9070.649972
Kenya,KEN,341.5552543,394.0884321,288.6809109,977.7780694
Kiribati,KIR,406.770906,463.452974,334.5239165,1539.047436
"Korea, Dem. Rep.",PRK,432.0672802,490.1355459,351.9873315,1800
"Korea, Rep.",KOR,1136.233273,1202.061951,795.6253707,22151.20912
Kosovo,KOS,544.640388,607.5993904,427.9015587,3283.429596
Kuwait,KWT,1407.040382,1465.76952,952.8278994,38584.4796
Kyrgyz Republic,KGZ,327.9761899,379.5304071,278.9699811,880.0377751
Lao PDR,LAO,360.2505816,414.063661,301.9526333,1122.852316
Latvia,LVA,881.092001,949.4050662,642.0248841,11446.50818
Lebanon,LBN,794.6826286,862.6988576,588.4935637,8755.849968
Lesotho,LSO,355.2721427,408.7518639,298.4292267,1083.012065
Liberia,LBR,223.8832668,266.3135253,202.1597549,326.6042804
Libya,LBY,907.9771115,976.2546195,658.5095224,12375.44953
Liechtenstein,LIE,0,0,0,
