Secondary Object Type,Object Name,lanes,Object ID,Primary Object Type,Damage Function: Structure,Max Potential Damage: Structure,Segment Length [m]
secondary,Spring Street,,1,roads,roads,76090.67476370707,1040.1721725134933
tertiary,Murray Boulevard,1,2,roads,roads,106799.35007891105,1459.964868751518
tertiary,Tradd Street,2,3,roads,roads,7781.5546347982345,106.37514537945967
tertiary,East Battery,2,4,roads,roads,26865.662847208976,367.25807697956276
tertiary,Ashley Avenue,2,5,roads,roads,11480.549439591761,156.94101924201334
secondary,East Bay Street,4,6,roads,roads,147038.32326165948,1005.0191605264346
motorway,Calhoun Street,2,7,roads,roads,5673.260112687353,77.55440880204715
tertiary,Ashley Avenue,2,8,roads,roads,46600.07058473138,637.030711186726
secondary,Rutledge Avenue,3,9,roads,roads,61401.73825013926,559.5813124283616
tertiary,Vendue Range,2,10,roads,roads,9803.791419502926,134.01945838121893
tertiary,Concord Street,2,11,roads,roads,19396.37743352314,265.15170376097905
tertiary,East Bay Street,2,12,roads,roads,35256.41965025755,481.96111726620666
tertiary,Murray Boulevard,1,13,roads,roads,108993.8487820456,1489.9640308131782
tertiary,Rutlede Boulevard,2,14,roads,roads,20664.727274925866,282.49025692976085
tertiary,Ashley Boulevard,2,15,roads,roads,12644.101129002791,172.84696425255345
tertiary,Queen Street,1,16,roads,roads,7157.2285367761415,97.84050383825652
tertiary,Broad Street,3,17,roads,roads,34017.834284560944,310.0196329520354
tertiary,Lockwood Drive,3,18,roads,roads,9699.149108440646,88.39265372959176
tertiary,Smith Street,2,19,roads,roads,47417.14075137047,648.2001961856199
tertiary,Market Street,2,20,roads,roads,11736.084953930298,160.43423220049073
tertiary,Logan Street,1,21,roads,roads,15237.509846838202,208.29929252567533
tertiary,Pritchard Street,,22,roads,roads,9135.640768402225,124.88572791450984
tertiary,Washington Street,,23,roads,roads,15856.406103866108,216.7597072378897
tertiary,Coming Street,2,24,roads,roads,65670.97640714522,897.7331639209484
secondary,Cannon Street,,25,roads,roads,77559.95743145901,1060.2575108193762
tertiary,Hagood Avenue,,26,roads,roads,22870.913930904226,312.649195249675
tertiary,Hagood Avenue,,27,roads,roads,3508.252467744541,47.958394408143874
secondary,Lockwood Drive,,28,roads,roads,7187.993948036465,98.2610721242955
secondary,Fishburne Street,,29,roads,roads,28088.02755225738,383.9680056903075
secondary,Fishburne Street,,30,roads,roads,18773.370090333505,256.63508981755115
tertiary,Lockwood Drive,4,31,roads,roads,18599.5786346881,127.12966586483007
tertiary,Courteney Drive,4,32,roads,roads,8653.151377648383,59.14500886953455
tertiary,Jonathan Lucas Street,2,33,roads,roads,20247.80738875577,276.7908927815476
tertiary,Doughty Street,,34,roads,roads,7646.049461035596,104.52276712920488
motorway,James Island Expressway,1,35,roads,roads,16365.299543752533,223.7163651540974
secondary,Lockwood Drive,,36,roads,roads,51080.11447499401,698.2736558808235
tertiary,Lockwood Drive,2,37,roads,roads,22744.319793247716,310.9186323442656
motorway,James Island Expressway,1,38,roads,roads,11131.148577521282,152.16465137687666
tertiary,Bee Street,,39,roads,roads,42848.598944049394,585.7474702543934
tertiary,President Street,,40,roads,roads,24072.03045367785,329.06865777665473
tertiary,Cumberland Street,2,41,roads,roads,17853.131534500135,244.05527578877042
tertiary,Broad Street,3,42,roads,roads,27011.58102858949,246.16853518326673
tertiary,Tradd Street,2,43,roads,roads,26125.0709100108,357.1340620900426
tertiary,Washington Street,,44,roads,roads,22173.242576687928,303.1119118641722
tertiary,Washington Street,,45,roads,roads,28657.794708643996,391.75681743006334
tertiary,Rutledge Avenue,1,46,roads,roads,4168.720395062447,56.987100763648925
motorway,James Island Expressway,1,47,roads,roads,7507.792151505464,102.63276672552307
motorway,James Island Expressway,2,48,roads,roads,177626.8956021927,2428.1891896625207
