Object ID,Object Name,Primary Object Type,Secondary Object Type,Max Potential Damage: Structure,Max Potential Damage: Content,Ground Elevation,X Coordinate,Y Coordinate,Aggregation Label: Census Block,Finished Floor Height,Extraction Method,Damage Function: Structure,Damage Function: Content
574486973,574486973,RES,RES3A,480189.335,240094.667,7.298348065,-79.93682513,32.77688289,4.5019E+14,1,centroid,RES3A,RES3A
573783417,573783417,COM,RES4,1177614.2,588807.1,8.381748562,-79.93000008,32.77054524,4.5019E+14,1,centroid,RES4,RES4
573783433,573783433,COM,RES4,476216.254,238108.127,7.374183635,-79.92968382,32.7712713,4.5019E+14,1,centroid,RES4,RES4
573785665,573785665,RES,RES1-2SNB,330007.42,165003.71,7.36403129,-79.93179589,32.77336473,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574346729,574346729,RES,RES3A,472285.148,236142.574,10.90203092,-79.93064525,32.77485433,4.5019E+14,1,centroid,RES3A,RES3A
574372707,574372707,RES,RES1-3SNB,389363.808,194681.904,6.365223632,-79.93187273,32.77098914,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
574372721,574372721,RES,RES3A,503924.421,251962.21,7.12000971,-79.93191719,32.77164194,4.5019E+14,1,centroid,RES3A,RES3A
574476728,574476728,RES,RES1-1SNB,96964.414,48482.207,5.867157192,-79.93241085,32.76996811,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574476811,574476811,RES,RES1-1SNB,152049.256,76024.6281,5.867157192,-79.93241085,32.76996811,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574486899,574486899,RES,RES3A,480189.335,240094.667,12.33366492,-79.93027436,32.77536076,4.5019E+14,1,centroid,RES3A,RES3A
574486932,574486932,RES,RES1-1SNB,177705.21,88852.6051,6.460120566,-79.92998998,32.77314466,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
573827729,573827729,COM,COM8,37755.4885,37755.4885,11.17279794,-79.93080905,32.77672792,4.5019E+14,1,centroid,COM8,COM8
574421669,574421669,RES,RES3A,170840.757,85420.3788,11.52017961,-79.92907633,32.7771126,4.5019E+14,1,centroid,RES3A,RES3A
574488781,574488781,RES,RES1-3SNB,374871.082,187435.541,5.99898202,-79.92578441,32.77724701,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
573467745,573467745,RES,RES3A,516183.793,258091.896,5.893531857,-79.92827685,32.77200663,4.5019E+14,1,centroid,RES3A,RES3A
573779323,573779323,RES,RES1-2SWB,437207.93,218603.965,6.975060909,-79.92874432,32.77330072,4.5019E+14,1,centroid,RES1-2SWB,RES1-2SWB
573779375,573779375,RES,RES1-1SNB,226202.175,113101.087,12.12123537,-79.92780556,32.7743702,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
573779393,573779393,RES,RES3A,200255.163,100127.581,12.16771917,-79.92811631,32.77473003,4.5019E+14,1,centroid,RES3A,RES3A
573779405,573779405,RES,RES1-3SNB,398598.966,199299.483,10.82060957,-79.92862217,32.77481123,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
573782594,573782594,RES,RES3A,489787.119,244893.559,6.500304423,-79.92975812,32.77311597,4.5019E+14,1,centroid,RES3A,RES3A
573782596,573782596,RES,RES3A,675402.418,337701.209,6.887255912,-79.93036119,32.77318439,4.5019E+14,1,centroid,RES3A,RES3A
573782413,573782413,RES,RES3A,437002.054,218501.027,7.119138325,-79.92871845,32.77219172,4.5019E+14,1,centroid,RES3A,RES3A
573782415,573782415,RES,RES1-3SNB,369429.359,184714.679,7.403951541,-79.92887994,32.77219043,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
573782419,573782419,RES,RES3A,448799.6,224399.8,5.554710338,-79.92834819,32.77223276,4.5019E+14,1,centroid,RES3A,RES3A
573782453,573782453,RES,RES1-3SNB,448326.4,224163.2,5.318573467,-79.928964,32.77290941,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
573782528,573782528,RES,RES3A,677628.089,338814.044,12.29409979,-79.9284514,32.77542131,4.5019E+14,1,centroid,RES3A,RES3A
573783136,573783136,RES,RES1-1SNB,187137.546,93568.7731,6.356549279,-79.92955844,32.7733371,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
573783158,573783158,PUB,EDU1,4297828.09,4297828.09,11.21253906,-79.92936283,32.77416934,4.5019E+14,1,centroid,EDU1,EDU1
573783175,573783175,RES,RES3A,327754.263,163877.131,9.728631321,-79.93046822,32.77447171,4.5019E+14,1,centroid,RES3A,RES3A
573783185,573783185,RES,RES1-2SNB,438110.47,219055.235,10.55727514,-79.93039775,32.77458916,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573783419,573783419,RES,RES1-2SWB,899667.893,449833.946,7.065387762,-79.92958184,32.77059715,4.5019E+14,1,centroid,RES1-2SWB,RES1-2SWB
573783425,573783425,RES,RES1-3SWB,615853.155,307926.577,6.638645869,-79.92967987,32.77098975,4.5019E+14,1,centroid,RES1-3SWB,RES1-3SWB
573785435,573785435,COM,COM8,988173.174,988173.174,11.90498236,-79.93155196,32.77744925,4.5019E+14,1,centroid,COM8,COM8
573785827,573785827,RES,RES1-3SWB,481445.527,240722.763,10.28449237,-79.93273414,32.77520953,4.5019E+14,1,centroid,RES1-3SWB,RES1-3SWB
573785950,573785950,RES,RES1-2SNB,472439.483,236219.741,9.125092034,-79.93278733,32.7738393,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573785982,573785982,RES,RES1-3SNB,544883.847,272441.923,10.69242829,-79.93262251,32.77438286,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
573785986,573785986,RES,RES3B,409580.853,204790.426,6.962971022,-79.93332761,32.77233853,4.5019E+14,1,centroid,RES3B,RES3B
573818743,573818743,RES,RES1-2SNB,280041.982,140020.991,4.967063277,-79.92587104,32.77601644,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573818747,573818747,RES,RES1-1SNB,238450.81,119225.405,6.334944159,-79.9257632,32.77629841,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
573827725,573827725,COM,COM4,212093.854,212093.854,12.08352487,-79.929484,32.777288,4.5019E+14,1,centroid,COM4,COM4
573827727,573827727,PUB,GOV1,1531018.22,1531018.22,11.17279794,-79.93080905,32.77672792,4.5019E+14,1,centroid,GOV1,GOV1
573827740,573827740,RES,RES3A,210487.941,105243.97,12.13528704,-79.92972682,32.77680666,4.5019E+14,1,centroid,RES3A,RES3A
573827758,573827758,COM,COM4,414162.244,414162.244,12.28739544,-79.92947989,32.77702812,4.5019E+14,1,centroid,COM4,COM4
573831699,573831699,RES,RES1-2SNB,195993.925,97996.9627,10.66339723,-79.93245507,32.77518981,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573831713,573831713,COM,COM4,221441.012,221441.012,10.54490679,-79.93193054,32.7752842,4.5019E+14,1,centroid,COM4,COM4
573831715,573831715,RES,RES1-2SNB,359315.841,179657.92,10.38239652,-79.93244164,32.77533365,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574267660,574267660,COM,COM2,411264.761,411264.761,11.4503749,-79.92712901,32.77418197,4.5019E+14,1,centroid,COM2,COM2
574267669,574267669,RES,RES3A,817491.32,408745.66,11.51114896,-79.9270412,32.77465035,4.5019E+14,1,centroid,RES3A,RES3A
574267743,574267743,RES,RES1-3SNB,345016.887,172508.443,12.8122167,-79.92810606,32.77541377,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
574267753,574267753,RES,RES3A,264783.443,132391.721,13.26529259,-79.92802961,32.77570753,4.5019E+14,1,centroid,RES3A,RES3A
574268223,574268223,RES,RES1-3SNB,414397.057,207198.528,7.626446614,-79.9320608,32.77205654,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
574268225,574268225,RES,RES3A,531400.843,265700.421,8.909513291,-79.93161077,32.77204931,4.5019E+14,1,centroid,RES3A,RES3A
574268229,574268229,RES,RES1-2SNB,440077.672,220038.836,9.528821214,-79.93134554,32.77208614,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574293801,574293801,RES,RES1-1SNB,265814.38,132907.19,10.87996078,-79.93220346,32.77440051,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574346714,574346714,RES,RES1-1SNB,269885.626,134942.813,5.855410696,-79.92566411,32.77661119,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
