Water Depth [ft],Factor
0,0
0.0328,1
0.0656,1
0.0984,1
0.1312,1
0.164,1
0.1969,1
0.2297,1
0.2625,1
0.2953,1
0.3281,1
0.3609,1
0.3937,1
0.4265,1
0.4593,1
0.4921,1
0.5249,1
0.5577,1
0.5906,1
0.6234,1
0.6562,1
0.689,1
0.7218,1
0.7546,1
0.7874,1
0.8202,1
0.853,1
0.8858,1
0.9186,1
0.9514,1
0.9843,1
1.0171,1
1.0499,1
1.0827,1
1.1155,1
1.1483,1
1.1811,1
1.2139,1
1.2467,1
1.2795,1
1.3123,1
1.3451,1
1.378,1
1.4108,1
1.4436,1
1.4764,1
1.5092,1
1.542,1
1.5748,1
1.6076,1
1.6404,1
1.6732,1
1.706,1
1.7388,1
1.7717,1
1.8045,1
1.8373,1
1.8701,1
1.9029,1
1.9357,1
1.9685,1
2.0013,1
2.0341,1
2.0669,1
2.0997,1
2.1325,1
2.1654,1
2.1982,1
2.231,1
2.2638,1
2.2966,1
2.3294,1
2.3622,1
2.395,1
2.4278,1
2.4606,1
2.4934,1
2.5262,1
2.5591,1
2.5919,1
2.6247,1
2.6575,1
2.6903,1
2.7231,1
2.7559,1
2.7887,1
2.8215,1
2.8543,1
2.8871,1
2.9199,1
2.9528,1
2.9856,1
3.0184,1
3.0512,1
3.084,1
3.1168,1
3.1496,1
3.1824,1
3.2152,1
3.248,1
3.2808,1
3.3136,1
3.3465,1
3.3793,1
3.4121,1
3.4449,1
3.4777,1
3.5105,1
3.5433,1
3.5761,1
3.6089,1
3.6417,1
3.6745,1
3.7073,1
3.7402,1
3.773,1
3.8058,1
3.8386,1
3.8714,1
3.9042,1
3.937,1
3.9698,1
4.0026,1
4.0354,1
4.0682,1
4.101,1
4.1339,1
4.1667,1
4.1995,1
4.2323,1
4.2651,1
4.2979,1
4.3307,1
4.3635,1
4.3963,1
4.4291,1
4.4619,1
4.4948,1
4.5276,1
4.5604,1
4.5932,1
4.626,1
4.6588,1
4.6916,1
4.7244,1
4.7572,1
4.79,1
4.8228,1
4.8556,1
4.8885,1
4.9213,1
