Water Depth [inch],Factor
0,0
0.3937,1
0.7874,1
1.1811,1
1.5748,1
1.9685,1
2.3622,1
2.7559,1
3.1496,1
3.5433,1
3.937,1
4.3307,1
4.7244,1
5.1181,1
5.5118,1
5.9055,1
6.2992,1
6.6929,1
7.0866,1
7.4803,1
7.874,1
8.2677,1
8.6614,1
9.0551,1
9.4488,1
9.8425,1
10.2362,1
10.6299,1
11.0236,1
11.4173,1
11.811,1
12.2047,1
12.5984,1
12.9921,1
13.3858,1
13.7795,1
14.1732,1
14.5669,1
14.9606,1
15.3543,1
15.748,1
16.1417,1
16.5354,1
16.9291,1
17.3228,1
17.7165,1
18.1102,1
18.5039,1
18.8976,1
19.2913,1
19.685,1
20.0787,1
20.4724,1
20.8661,1
21.2598,1
21.6535,1
22.0472,1
22.4409,1
22.8346,1
23.2283,1
23.622,1
24.0157,1
24.4094,1
24.8031,1
25.1969,1
25.5906,1
25.9843,1
26.378,1
26.7717,1
27.1654,1
27.5591,1
27.9528,1
28.3465,1
28.7402,1
29.1339,1
29.5276,1
29.9213,1
30.315,1
30.7087,1
31.1024,1
31.4961,1
31.8898,1
32.2835,1
32.6772,1
33.0709,1
33.4646,1
33.8583,1
34.252,1
34.6457,1
35.0394,1
35.4331,1
35.8268,1
36.2205,1
36.6142,1
37.0079,1
37.4016,1
37.7953,1
38.189,1
38.5827,1
38.9764,1
39.3701,1
39.7638,1
40.1575,1
40.5512,1
40.9449,1
41.3386,1
41.7323,1
42.126,1
42.5197,1
42.9134,1
43.3071,1
43.7008,1
44.0945,1
44.4882,1
44.8819,1
45.2756,1
45.6693,1
46.063,1
46.4567,1
46.8504,1
47.2441,1
47.6378,1
48.0315,1
48.4252,1
48.8189,1
49.2126,1
49.6063,1
50,1
50.3937,1
50.7874,1
51.1811,1
51.5748,1
51.9685,1
52.3622,1
52.7559,1
53.1496,1
53.5433,1
53.937,1
54.3307,1
54.7244,1
55.1181,1
55.5118,1
55.9055,1
56.2992,1
56.6929,1
57.0866,1
57.4803,1
57.874,1
58.2677,1
58.6614,1
59.0551,1
59.4488,1
59.8425,1
60.2362,1
60.6299,1
61.0236,1
61.4173,1
61.811,1
62.2047,1
62.5984,1
62.9921,1
63.3858,1
63.7795,1
64.1732,1
64.5669,1
64.9606,1
65.3543,1
65.748,1
66.1417,1
66.5354,1
66.9291,1
67.3228,1
67.7165,1
68.1102,1
68.5039,1
68.8976,1
69.2913,1
69.685,1
70.0787,1
70.4724,1
70.8661,1
71.2598,1
71.6535,1
72.0472,1
72.4409,1
72.8346,1
73.2283,1
73.622,1
74.0157,1
74.4094,1
74.8031,1
75.1969,1
75.5906,1
75.9843,1
76.378,1
76.7717,1
77.1654,1
77.5591,1
77.9528,1
78.3465,1
78.7402,1
79.1339,1
79.5276,1
79.9213,1
80.315,1
80.7087,1
81.1024,1
81.4961,1
81.8898,1
82.2835,1
82.6772,1
83.0709,1
83.4646,1
83.8583,1
84.252,1
84.6457,1
85.0394,1
85.4331,1
85.8268,1
86.2205,1
86.6142,1
87.0079,1
87.4016,1
87.7953,1
88.189,1
88.5827,1
88.9764,1
89.3701,1
89.7638,1
90.1575,1
90.5512,1
90.9449,1
91.3386,1
91.7323,1
92.126,1
92.5197,1
92.9134,1
93.3071,1
93.7008,1
94.0945,1
94.4882,1
94.8819,1
95.2756,1
95.6693,1
96.063,1
96.4567,1
96.8504,1
97.2441,1
97.6378,1
98.0315,1
98.4252,1
98.8189,1
99.2126,1
99.6063,1
100,1
100.3937,1
100.7874,1
101.1811,1
101.5748,1
101.9685,1
102.3622,1
102.7559,1
103.1496,1
103.5433,1
103.937,1
104.3307,1
104.7244,1
105.1181,1
105.5118,1
105.9055,1
106.2992,1
106.6929,1
107.0866,1
107.4803,1
107.874,1
108.2677,1
108.6614,1
109.0551,1
109.4488,1
109.8425,1
110.2362,1
110.6299,1
111.0236,1
111.4173,1
111.811,1
112.2047,1
112.5984,1
112.9921,1
113.3858,1
113.7795,1
114.1732,1
114.5669,1
114.9606,1
115.3543,1
115.748,1
116.1417,1
116.5354,1
116.9291,1
117.3228,1
117.7165,1
118.1102,1
118.5039,1
118.8976,1
119.2913,1
119.685,1
120.0787,1
120.4724,1
120.8661,1
121.2598,1
121.6535,1
122.0472,1
122.4409,1
122.8346,1
123.2283,1
123.622,1
124.0157,1
124.4094,1
124.8031,1
125.1969,1
125.5906,1
125.9843,1
126.378,1
126.7717,1
127.1654,1
127.5591,1
127.9528,1
128.3465,1
128.7402,1
129.1339,1
129.5276,1
129.9213,1
130.315,1
130.7087,1
131.1024,1
131.4961,1
131.8898,1
132.2835,1
132.6772,1
133.0709,1
133.4646,1
133.8583,1
134.252,1
134.6457,1
135.0394,1
135.4331,1
135.8268,1
136.2205,1
136.6142,1
137.0079,1
137.4016,1
137.7953,1
138.189,1
138.5827,1
138.9764,1
139.3701,1
139.7638,1
140.1575,1
140.5512,1
140.9449,1
141.3386,1
141.7323,1
142.126,1
142.5197,1
142.9134,1
143.3071,1
143.7008,1
144.0945,1
144.4882,1
144.8819,1
145.2756,1
145.6693,1
146.063,1
146.4567,1
146.8504,1
147.2441,1
147.6378,1
148.0315,1
148.4252,1
148.8189,1
149.2126,1
149.6063,1
150,1
150.3937,1
150.7874,1
151.1811,1
151.5748,1
151.9685,1
152.3622,1
152.7559,1
153.1496,1
153.5433,1
153.937,1
154.3307,1
154.7244,1
155.1181,1
155.5118,1
155.9055,1
156.2992,1
156.6929,1
157.0866,1
157.4803,1
157.874,1
158.2677,1
158.6614,1
159.0551,1
159.4488,1
159.8425,1
160.2362,1
160.6299,1
161.0236,1
161.4173,1
161.811,1
162.2047,1
162.5984,1
162.9921,1
163.3858,1
163.7795,1
164.1732,1
164.5669,1
164.9606,1
165.3543,1
165.748,1
166.1417,1
166.5354,1
166.9291,1
167.3228,1
167.7165,1
168.1102,1
168.5039,1
168.8976,1
169.2913,1
169.685,1
170.0787,1
170.4724,1
170.8661,1
171.2598,1
171.6535,1
172.0472,1
172.4409,1
172.8346,1
173.2283,1
173.622,1
174.0157,1
174.4094,1
174.8031,1
175.1969,1
175.5906,1
175.9843,1
176.378,1
176.7717,1
177.1654,1
177.5591,1
177.9528,1
178.3465,1
178.7402,1
179.1339,1
179.5276,1
179.9213,1
180.315,1
180.7087,1
181.1024,1
181.4961,1
181.8898,1
182.2835,1
182.6772,1
183.0709,1
183.4646,1
183.8583,1
184.252,1
184.6457,1
185.0394,1
185.4331,1
185.8268,1
186.2205,1
186.6142,1
187.0079,1
187.4016,1
187.7953,1
188.189,1
188.5827,1
188.9764,1
189.3701,1
189.7638,1
190.1575,1
190.5512,1
190.9449,1
191.3386,1
191.7323,1
192.126,1
192.5197,1
192.9134,1
193.3071,1
193.7008,1
194.0945,1
194.4882,1
194.8819,1
195.2756,1
195.6693,1
196.063,1
196.4567,1
196.8504,1
197.2441,1
197.6378,1
198.0315,1
198.4252,1
198.8189,1
199.2126,1
199.6063,1
200,1
200.3937,1
200.7874,1
201.1811,1
201.5748,1
201.9685,1
202.3622,1
202.7559,1
203.1496,1
203.5433,1
203.937,1
204.3307,1
204.7244,1
205.1181,1
205.5118,1
205.9055,1
206.2992,1
206.6929,1
207.0866,1
207.4803,1
207.874,1
208.2677,1
208.6614,1
209.0551,1
209.4488,1
209.8425,1
210.2362,1
210.6299,1
211.0236,1
211.4173,1
211.811,1
212.2047,1
212.5984,1
212.9921,1
213.3858,1
213.7795,1
214.1732,1
214.5669,1
214.9606,1
215.3543,1
215.748,1
216.1417,1
216.5354,1
216.9291,1
217.3228,1
217.7165,1
218.1102,1
218.5039,1
218.8976,1
219.2913,1
219.685,1
220.0787,1
220.4724,1
220.8661,1
221.2598,1
221.6535,1
222.0472,1
222.4409,1
222.8346,1
223.2283,1
223.622,1
224.0157,1
224.4094,1
224.8031,1
225.1969,1
225.5906,1
225.9843,1
226.378,1
226.7717,1
227.1654,1
227.5591,1
227.9528,1
228.3465,1
228.7402,1
229.1339,1
229.5276,1
229.9213,1
230.315,1
230.7087,1
231.1024,1
231.4961,1
231.8898,1
232.2835,1
232.6772,1
233.0709,1
233.4646,1
233.8583,1
234.252,1
234.6457,1
235.0394,1
235.4331,1
235.8268,1
236.2205,1
236.6142,1
237.0079,1
237.4016,1
237.7953,1
238.189,1
238.5827,1
238.9764,1
239.3701,1
239.7638,1
240.1575,1
240.5512,1
240.9449,1
241.3386,1
241.7323,1
242.126,1
242.5197,1
242.9134,1
243.3071,1
243.7008,1
244.0945,1
244.4882,1
244.8819,1
245.2756,1
245.6693,1
246.063,1
246.4567,1
246.8504,1
247.2441,1
247.6378,1
248.0315,1
248.4252,1
248.8189,1
249.2126,1
249.6063,1
250,1
250.3937,1
250.7874,1
251.1811,1
251.5748,1
251.9685,1
252.3622,1
252.7559,1
253.1496,1
253.5433,1
253.937,1
254.3307,1
254.7244,1
