Water Depth [ft],Factor
0.0,0.0
0.0328,1
0.0656,1
0.0984,1
0.1312,1
0.164,1
0.1969,1
0.2297,1
0.2625,1
0.2953,1
0.3281,1
0.3609,1
0.3937,1
0.4265,1
0.4593,1
0.4921,1
0.5249,1
0.5577,1
0.5906,1
0.6234,1
0.6562,1
0.689,1
0.7218,1
0.7546,1
0.7874,1
0.8202,1
0.853,1
0.8858,1
0.9186,1
0.9514,1
0.9843,1
10.171,10
10.499,10
10.827,10
11.155,10
11.483,10
11.811,10
12.139,10
12.467,10
12.795,10
13.123,10
13.451,10
1.378,10
14.108,10
14.436,10
14.764,10
15.092,10
1.542,10
15.748,10
16.076,10
16.404,10
16.732,10
1.706,10
17.388,10
17.717,10
18.045,10
18.373,10
18.701,10
19.029,10
19.357,10
19.685,10
20.013,10
20.341,10
20.669,10
20.997,10
21.325,10
21.654,10
21.982,10
2.231,10
22.638,10
22.966,10
23.294,10
23.622,10
2.395,10
24.278,10
24.606,10
24.934,10
25.262,10
25.591,10
25.919,10
26.247,10
26.575,10
26.903,10
27.231,10
27.559,10
27.887,10
28.215,10
28.543,10
28.871,10
29.199,10
29.528,10
29.856,10
30.184,10
30.512,10
3.084,10
31.168,10
31.496,10
31.824,10
32.152,10
3.248,10
32.808,10
33.136,10
33.465,10
33.793,10
34.121,10
34.449,10
34.777,10
35.105,10
35.433,10
35.761,10
36.089,10
36.417,10
36.745,10
37.073,10
37.402,10
3.773,10
38.058,10
38.386,10
38.714,10
39.042,10
3.937,10
39.698,10
40.026,10
40.354,10
40.682,10
4.101,10
41.339,10
41.667,10
41.995,10
42.323,10
42.651,10
42.979,10
43.307,10
43.635,10
43.963,10
44.291,10
44.619,10
44.948,10
45.276,10
45.604,10
45.932,10
4.626,10
46.588,10
46.916,10
47.244,10
47.572,10
4.79,1
48.228,10
48.556,10
48.885,10
49.213,10
49.541,10
49.869,10
50.197,10
50.525,10
50.853,10
51.181,10
51.509,10
51.837,10
52.165,10
52.493,10
52.822,10
5.315,10
53.478,10
53.806,10
54.134,10
54.462,10
5.479,10
55.118,10
55.446,10
55.774,10
56.102,10
5.643,10
56.759,10
57.087,10
57.415,10
57.743,10
58.071,10
58.399,10
58.727,10
59.055,10
59.383,10
59.711,10
60.039,10
60.367,10
60.696,10
61.024,10
61.352,10
6.168,10
62.008,10
62.336,10
62.664,10
62.992,10
6.332,10
63.648,10
63.976,10
64.304,10
64.633,10
64.961,10
65.289,10
65.617,10
65.945,10
66.273,10
66.601,10
66.929,10
67.257,10
67.585,10
67.913,10
68.241,10
6.857,10
68.898,10
69.226,10
69.554,10
69.882,10
7.021,10
70.538,10
70.866,10
71.194,10
71.522,10
7.185,10
72.178,10
72.507,10
72.835,10
73.163,10
73.491,10
73.819,10
74.147,10
74.475,10
74.803,10
75.131,10
75.459,10
75.787,10
76.115,10
76.444,10
76.772,10
7.71,1
77.428,10
77.756,10
78.084,10
78.412,10
7.874,10
79.068,10
79.396,10
79.724,10
80.052,10
80.381,10
80.709,10
81.037,10
81.365,10
81.693,10
82.021,10
82.349,10
82.677,10
83.005,10
83.333,10
83.661,10
8.399,10
84.318,10
84.646,10
84.974,10
85.302,10
8.563,10
85.958,10
86.286,10
86.614,10
86.942,10
8.727,10
87.598,10
87.927,10
88.255,10
88.583,10
88.911,10
89.239,10
89.567,10
89.895,10
90.223,10
90.551,10
90.879,10
91.207,10
91.535,10
91.864,10
92.192,10
9.252,10
92.848,10
93.176,10
93.504,10
93.832,10
9.416,10
94.488,10
94.816,10
95.144,10
95.472,10
95.801,10
96.129,10
96.457,10
96.785,10
97.113,10
97.441,10
97.769,10
98.097,10
98.425,10
98.753,10
99.081,10
99.409,10
99.738,10
100.066,10
100.394,10
100.722,10
10.105,10
101.378,10
101.706,10
102.034,10
102.362,10
10.269,10
103.018,10
103.346,10
103.675,10
104.003,10
104.331,10
104.659,10
104.987,10
105.315,10
105.643,10
105.971,10
106.299,10
106.627,10
106.955,10
107.283,10
107.612,10
10.794,10
108.268,10
108.596,10
108.924,10
109.252,10
10.958,10
109.908,10
110.236,10
110.564,10
110.892,10
11.122,10
111.549,10
111.877,10
112.205,10
112.533,10
112.861,10
113.189,10
113.517,10
113.845,10
114.173,10
