ID,Occupancy,Description,Source,Damage Type,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
105,RES1,"one floor, no basement, Structure, A-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0,0.18,0.22,0.25,0.28,0.3,0.31,0.4,0.43,0.43,0.45,0.46,0.47,0.47,0.49,0.5,0.5,0.5,0.51,0.51,0.52,0.52,0.53,0.53,0.54,0.54
106,RES1,"one floor, w/ basement, Structure, A-Zone",FIA (MOD.),Structure,0,0,0,0,0,0.07,0.07,0.07,0.11,0.17,0.21,0.29,0.34,0.38,0.43,0.5,0.5,0.54,0.55,0.55,0.57,0.58,0.6,0.62,0.63,0.65,0.67,0.69,0.7,0.72,0.74,0.76,0.77,0.79
107,RES1,"two floors, no basement, Structure, A-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0,0.11,0.12,0.14,0.18,0.2,0.22,0.24,0.26,0.3,0.34,0.38,0.39,0.4,0.42,0.43,0.44,0.45,0.47,0.48,0.49,0.5,0.52,0.53,0.54,0.56
108,RES1,"two floors, w/ basement, Structure, A-Zone",FIA (MOD.),Structure,0,0,0,0,0,0.04,0.04,0.08,0.14,0.19,0.21,0.26,0.29,0.34,0.39,0.44,0.5,0.55,0.57,0.59,0.61,0.63,0.65,0.66,0.68,0.69,0.71,0.72,0.74,0.75,0.77,0.79,0.8,0.82
109,RES1,"three or more floors, no basement, Structure, A-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0,0.05,0.08,0.12,0.17,0.19,0.22,0.24,0.25,0.3,0.35,0.38,0.39,0.4,0.42,0.43,0.44,0.45,0.47,0.48,0.49,0.5,0.52,0.53,0.54,0.56
110,RES1,"three or more floors, w/ basement, Structure, A-Zone",FIA (MOD.),Structure,0,0,0,0,0,0.03,0.03,0.06,0.1,0.12,0.14,0.2,0.25,0.31,0.36,0.38,0.41,0.44,0.48,0.5,0.52,0.54,0.56,0.57,0.59,0.61,0.63,0.65,0.67,0.69,0.71,0.73,0.75,0.77
111,RES1,"split level, no basement, Structure, A-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0,0.03,0.09,0.13,0.25,0.27,0.28,0.33,0.34,0.41,0.43,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59
112,RES1,"split level, w/ basement, Structure, A-Zone",FIA (MOD.),Structure,0,0,0,0,0,0.06,0.06,0.09,0.14,0.15,0.24,0.27,0.3,0.35,0.4,0.43,0.44,0.52,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.81,0.83,0.85,0.87
113,RES1,"one floor, no basement, Structure, V-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0,0.08,0.1,0.14,0.26,0.28,0.29,0.41,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6
114,RES1,"one floor, w/ basement, Structure, V-Zone",FIA (MOD.),Structure,0,0,0,0,0,0.07,0.07,0.1,0.14,0.17,0.21,0.29,0.34,0.38,0.43,0.47,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69
115,RES1,"two floors, no basement, Structure, V-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0,0.05,0.09,0.13,0.18,0.2,0.22,0.24,0.26,0.3,0.34,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66
116,RES1,"two floors, w/ basement, Structure, V-Zone",FIA (MOD.),Structure,0,0,0,0,0,0.04,0.04,0.08,0.14,0.17,0.24,0.26,0.29,0.34,0.39,0.44,0.5,0.55,0.57,0.59,0.61,0.63,0.65,0.67,0.69,0.71,0.73,0.75,0.77,0.79,0.81,0.83,0.85,0.87
117,RES1,"three or more floors, no basement, Structure, V-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0,0.04,0.08,0.12,0.17,0.19,0.22,0.24,0.25,0.3,0.35,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66
118,RES1,"three or more floors, w/ basement, Structure, V-Zone",FIA (MOD.),Structure,0,0,0,0,0,0.03,0.03,0.06,0.1,0.11,0.14,0.2,0.25,0.31,0.36,0.38,0.41,0.44,0.47,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78
119,RES1,"split level, no basement, Structure, V-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0,0.03,0.09,0.13,0.25,0.27,0.28,0.32,0.37,0.41,0.43,0.45,0.47,0.49,0.51,0.53,0.55,0.57,0.59,0.61,0.63,0.65,0.67,0.69,0.71,0.73
120,RES1,"split level, w/ basement, Structure, V-Zone",FIA (MOD.),Structure,0,0,0,0,0,0.06,0.06,0.06,0.14,0.15,0.24,0.27,0.3,0.35,0.41,0.44,0.48,0.52,0.57,0.59,0.61,0.63,0.65,0.67,0.69,0.71,0.73,0.75,0.77,0.79,0.81,0.83,0.85,0.87
121,RES1,"one floor, w/ basement, Structure, A-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0,0.06,0.1,0.18,0.23,0.27,0.32,0.39,0.39,0.43,0.44,0.44,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59
122,RES1,"two floors, w/ basement, Structure,  A-Zone",FIA,Structure,0,0,0,0,0,0,0,0.04,0.08,0.13,0.15,0.2,0.23,0.27,0.32,0.37,0.43,0.48,0.51,0.53,0.55,0.57,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7
123,RES1,"three or more floors, w/ basement, Structure, A-Zone",FIA,Structure,0,0,0,0,0,0,0,0.03,0.05,0.07,0.09,0.15,0.2,0.26,0.31,0.33,0.36,0.39,0.43,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59
124,RES1,"split level, w/ basement, Structure, A-Zone",FIA,Structure,0,0,0,0,0,0,0,0.03,0.05,0.06,0.16,0.19,0.22,0.27,0.32,0.35,0.36,0.44,0.48,0.5,0.52,0.54,0.56,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68
