Water Depth [ft],Factor
0,0
0.0328,0.0067
0.0656,0.0133
0.0984,0.02
0.1312,0.0266
0.164,0.0333
0.1969,0.04
0.2297,0.0466
0.2625,0.0533
0.2953,0.06
0.3281,0.0666
0.3609,0.0733
0.3937,0.0799
0.4265,0.0866
0.4593,0.0933
0.4921,0.0999
0.5249,0.1066
0.5577,0.1133
0.5906,0.1199
0.6234,0.1266
0.6562,0.1332
0.689,0.1399
0.7218,0.1466
0.7546,0.1532
0.7874,0.1599
0.8202,0.1666
0.853,0.1732
0.8858,0.1799
0.9186,0.1865
0.9514,0.1932
0.9843,0.1999
1.0171,0.2065
1.0499,0.2132
1.0827,0.2198
1.1155,0.2265
1.1483,0.2332
1.1811,0.2398
1.2139,0.2465
1.2467,0.2532
1.2795,0.2598
1.3123,0.2665
1.3451,0.2731
1.378,0.2798
1.4108,0.2865
1.4436,0.2931
1.4764,0.2998
1.5092,0.3065
1.542,0.3131
1.5748,0.3198
1.6076,0.3264
1.6404,0.3331
1.6732,0.3363
1.706,0.3395
1.7388,0.3427
1.7717,0.3459
1.8045,0.3491
1.8373,0.3523
1.8701,0.3555
1.9029,0.3587
1.9357,0.3619
1.9685,0.3651
2.0013,0.3683
2.0341,0.3715
2.0669,0.3747
2.0997,0.3779
2.1325,0.3811
2.1654,0.3843
2.1982,0.3875
2.231,0.3907
2.2638,0.3939
2.2966,0.3971
2.3294,0.4003
2.3622,0.4035
2.395,0.4067
2.4278,0.4099
2.4606,0.4131
2.4934,0.4163
2.5262,0.4195
2.5591,0.4227
2.5919,0.4259
2.6247,0.4291
2.6575,0.4323
2.6903,0.4355
2.7231,0.4387
2.7559,0.4419
2.7887,0.4451
2.8215,0.4483
2.8543,0.4515
2.8871,0.4547
2.9199,0.4579
2.9528,0.4611
2.9856,0.4643
3.0184,0.4675
3.0512,0.4707
3.084,0.4739
3.1168,0.4771
3.1496,0.4803
3.1824,0.4835
3.2152,0.4867
3.248,0.4899
3.2808,0.4931
3.3136,0.4957
3.3465,0.4983
3.3793,0.5009
3.4121,0.5035
3.4449,0.506
3.4777,0.5086
3.5105,0.5112
3.5433,0.5138
3.5761,0.5164
3.6089,0.519
3.6417,0.5216
3.6745,0.5242
3.7073,0.5267
3.7402,0.5293
3.773,0.5319
3.8058,0.5345
3.8386,0.5371
3.8714,0.5397
3.9042,0.5423
3.937,0.5449
3.9698,0.5474
4.0026,0.55
4.0354,0.5526
4.0682,0.5552
4.101,0.5578
4.1339,0.5604
4.1667,0.563
4.1995,0.5656
4.2323,0.5681
4.2651,0.5707
4.2979,0.5733
4.3307,0.5759
4.3635,0.5785
4.3963,0.5811
4.4291,0.5837
4.4619,0.5863
4.4948,0.5888
4.5276,0.5914
4.5604,0.594
4.5932,0.5966
4.626,0.5992
4.6588,0.6018
4.6916,0.6044
4.7244,0.607
4.7572,0.6095
4.79,0.6121
4.8228,0.6147
4.8556,0.6173
4.8885,0.6199
4.9213,0.6225
4.9541,0.6245
4.9869,0.6265
5.0197,0.6285
5.0525,0.6305
5.0853,0.6325
5.1181,0.6345
5.1509,0.6365
5.1837,0.6385
5.2165,0.6405
5.2493,0.6425
5.2822,0.6445
5.315,0.6465
5.3478,0.6485
5.3806,0.6505
5.4134,0.6525
5.4462,0.6545
5.479,0.6565
5.5118,0.6585
5.5446,0.6605
5.5774,0.6625
5.6102,0.6645
5.643,0.6665
5.6759,0.6685
5.7087,0.6705
5.7415,0.6725
5.7743,0.6745
5.8071,0.6765
5.8399,0.6785
5.8727,0.6805
5.9055,0.6825
5.9383,0.6845
5.9711,0.6865
6.0039,0.6885
6.0367,0.6905
6.0696,0.6925
6.1024,0.6945
6.1352,0.6965
6.168,0.6985
6.2008,0.7005
6.2336,0.7025
6.2664,0.7045
6.2992,0.7065
6.332,0.7085
6.3648,0.7105
6.3976,0.7125
6.4304,0.7145
6.4633,0.7165
6.4961,0.7185
6.5289,0.7205
6.5617,0.7225
6.5945,0.724
6.6273,0.7254
6.6601,0.7269
6.6929,0.7284
6.7257,0.7299
6.7585,0.7314
6.7913,0.7329
6.8241,0.7343
6.857,0.7358
6.8898,0.7373
6.9226,0.7388
6.9554,0.7403
6.9882,0.7417
7.021,0.7432
7.0538,0.7447
7.0866,0.7462
7.1194,0.7477
7.1522,0.7491
7.185,0.7506
7.2178,0.7521
7.2507,0.7536
7.2835,0.7551
7.3163,0.7566
7.3491,0.758
7.3819,0.7595
7.4147,0.761
7.4475,0.7625
7.4803,0.764
7.5131,0.7654
7.5459,0.7669
7.5787,0.7684
7.6115,0.7699
7.6444,0.7714
7.6772,0.7729
7.71,0.7743
7.7428,0.7758
7.7756,0.7773
7.8084,0.7788
7.8412,0.7803
7.874,0.7817
7.9068,0.7832
7.9396,0.7847
7.9724,0.7862
8.0052,0.7877
8.0381,0.7891
8.0709,0.7906
8.1037,0.7921
8.1365,0.7936
8.1693,0.7951
8.2021,0.7966
8.2349,0.798
8.2677,0.7995
8.3005,0.801
8.3333,0.8025
8.3661,0.804
8.399,0.8054
8.4318,0.8069
8.4646,0.8084
8.4974,0.8099
8.5302,0.8114
8.563,0.8128
8.5958,0.8143
8.6286,0.8158
8.6614,0.8173
8.6942,0.8188
8.727,0.8203
8.7598,0.8217
8.7927,0.8232
8.8255,0.8247
8.8583,0.8262
8.8911,0.8277
8.9239,0.8291
8.9567,0.8306
8.9895,0.8321
9.0223,0.8336
9.0551,0.8351
9.0879,0.8365
9.1207,0.838
9.1535,0.8395
9.1864,0.841
9.2192,0.8425
9.252,0.844
9.2848,0.8454
9.3176,0.8469
9.3504,0.8484
9.3832,0.8499
9.416,0.8514
9.4488,0.8528
9.4816,0.8543
9.5144,0.8558
9.5472,0.8573
9.5801,0.8588
9.6129,0.8603
9.6457,0.8617
9.6785,0.8632
9.7113,0.8647
9.7441,0.8662
9.7769,0.8677
9.8097,0.8691
9.8425,0.8706
9.8753,0.8712
9.9081,0.8718
9.9409,0.8724
9.9738,0.873
10.0066,0.8736
10.0394,0.8742
10.0722,0.8748
10.105,0.8754
10.1378,0.876
10.1706,0.8766
10.2034,0.8772
10.2362,0.8778
10.269,0.8784
10.3018,0.879
10.3346,0.8796
10.3675,0.8802
10.4003,0.8808
10.4331,0.8814
10.4659,0.882
10.4987,0.8826
10.5315,0.8832
10.5643,0.8838
10.5971,0.8844
10.6299,0.885
10.6627,0.8856
10.6955,0.8862
10.7283,0.8868
10.7612,0.8874
10.794,0.888
10.8268,0.8886
10.8596,0.8892
10.8924,0.8898
10.9252,0.8904
10.958,0.891
10.9908,0.8916
11.0236,0.8922
11.0564,0.8928
11.0892,0.8934
11.122,0.894
11.1549,0.8946
11.1877,0.8952
11.2205,0.8958
11.2533,0.8964
11.2861,0.897
11.3189,0.8976
11.3517,0.8982
11.3845,0.8988
11.4173,0.8994
11.4501,0.9
11.4829,0.9006
11.5157,0.9012
11.5486,0.9018
11.5814,0.9024
11.6142,0.903
11.647,0.9036
11.6798,0.9042
11.7126,0.9048
11.7454,0.9054
11.7782,0.906
11.811,0.9066
11.8438,0.9072
11.8766,0.9078
11.9094,0.9084
11.9423,0.909
11.9751,0.9096
12.0079,0.9102
12.0407,0.9108
12.0735,0.9114
12.1063,0.912
12.1391,0.9126
12.1719,0.9132
12.2047,0.9138
12.2375,0.9144
12.2703,0.915
12.3031,0.9156
12.336,0.9162
12.3688,0.9168
12.4016,0.9174
12.4344,0.918
12.4672,0.9186
12.5,0.9192
12.5328,0.9198
12.5656,0.9204
12.5984,0.921
12.6312,0.9216
12.664,0.9222
12.6969,0.9228
12.7297,0.9234
12.7625,0.924
12.7953,0.9246
12.8281,0.9252
12.8609,0.9258
12.8937,0.9264
12.9265,0.927
12.9593,0.9276
12.9921,0.9282
13.0249,0.9288
13.0577,0.9294
13.0906,0.93
13.1234,0.9306
13.1562,0.9311
13.189,0.9316
13.2218,0.9321
13.2546,0.9326
13.2874,0.9331
13.3202,0.9336
13.353,0.9341
13.3858,0.9346
13.4186,0.9351
13.4514,0.9356
13.4843,0.9361
13.5171,0.9365
13.5499,0.937
13.5827,0.9375
13.6155,0.938
13.6483,0.9385
13.6811,0.939
13.7139,0.9395
13.7467,0.94
13.7795,0.9405
13.8123,0.941
13.8451,0.9415
13.878,0.942
13.9108,0.9425
13.9436,0.943
13.9764,0.9435
14.0092,0.944
14.042,0.9444
14.0748,0.9449
14.1076,0.9454
14.1404,0.9459
14.1732,0.9464
14.206,0.9469
14.2388,0.9474
14.2717,0.9479
14.3045,0.9484
14.3373,0.9489
14.3701,0.9494
14.4029,0.9499
14.4357,0.9504
14.4685,0.9509
14.5013,0.9514
14.5341,0.9519
14.5669,0.9523
14.5997,0.9528
14.6325,0.9533
14.6654,0.9538
14.6982,0.9543
14.731,0.9548
14.7638,0.9553
14.7966,0.9558
14.8294,0.9563
14.8622,0.9568
14.895,0.9573
14.9278,0.9578
14.9606,0.9583
14.9934,0.9588
15.0262,0.9593
15.0591,0.9598
15.0919,0.9602
15.1247,0.9607
15.1575,0.9612
15.1903,0.9617
15.2231,0.9622
15.2559,0.9627
15.2887,0.9632
15.3215,0.9637
15.3543,0.9642
15.3871,0.9647
15.4199,0.9652
15.4528,0.9657
15.4856,0.9662
15.5184,0.9667
15.5512,0.9672
15.584,0.9677
15.6168,0.9681
15.6496,0.9686
15.6824,0.9691
15.7152,0.9696
15.748,0.9701
15.7808,0.9706
15.8136,0.9711
15.8465,0.9716
15.8793,0.9721
15.9121,0.9726
15.9449,0.9731
15.9777,0.9736
16.0105,0.9741
16.0433,0.9746
16.0761,0.9751
16.1089,0.9756
16.1417,0.976
16.1745,0.9765
16.2073,0.977
16.2402,0.9775
16.273,0.978
16.3058,0.9785
16.3386,0.979
16.3714,0.9795
16.4042,0.98
16.437,0.9802
16.4698,0.9804
16.5026,0.9806
16.5354,0.9808
16.5682,0.981
16.601,0.9812
16.6339,0.9814
16.6667,0.9816
16.6995,0.9818
16.7323,0.982
16.7651,0.9822
16.7979,0.9824
16.8307,0.9826
16.8635,0.9828
16.8963,0.983
16.9291,0.9832
16.9619,0.9834
16.9948,0.9836
17.0276,0.9838
17.0604,0.984
17.0932,0.9842
17.126,0.9844
17.1588,0.9846
17.1916,0.9848
17.2244,0.985
17.2572,0.9852
17.29,0.9854
17.3228,0.9856
17.3556,0.9858
17.3885,0.986
17.4213,0.9862
17.4541,0.9864
17.4869,0.9866
17.5197,0.9868
17.5525,0.987
17.5853,0.9872
17.6181,0.9874
17.6509,0.9876
17.6837,0.9878
17.7165,0.988
17.7493,0.9882
17.7822,0.9884
17.815,0.9886
17.8478,0.9888
17.8806,0.989
17.9134,0.9892
17.9462,0.9894
17.979,0.9896
18.0118,0.9898
18.0446,0.99
18.0774,0.9902
18.1102,0.9904
18.143,0.9906
18.1759,0.9908
18.2087,0.991
18.2415,0.9912
18.2743,0.9914
18.3071,0.9916
18.3399,0.9918
18.3727,0.992
18.4055,0.9922
18.4383,0.9924
18.4711,0.9926
18.5039,0.9928
18.5367,0.993
18.5696,0.9932
18.6024,0.9934
18.6352,0.9936
18.668,0.9938
18.7008,0.994
18.7336,0.9942
18.7664,0.9944
18.7992,0.9946
18.832,0.9948
18.8648,0.995
18.8976,0.9952
18.9304,0.9954
18.9633,0.9956
18.9961,0.9958
19.0289,0.996
19.0617,0.9962
19.0945,0.9964
19.1273,0.9966
19.1601,0.9968
19.1929,0.997
19.2257,0.9972
19.2585,0.9974
19.2913,0.9976
19.3241,0.9978
19.357,0.998
19.3898,0.9982
19.4226,0.9984
19.4554,0.9986
19.4882,0.9988
19.521,0.999
19.5538,0.9992
19.5866,0.9994
19.6194,0.9996
19.6522,0.9998
19.685,1
19.7178,1
19.7507,1
19.7835,1
19.8163,1
19.8491,1
19.8819,1
19.9147,1
19.9475,1
19.9803,1
20.0131,1
20.0459,1
20.0787,1
20.1115,1
20.1444,1
20.1772,1
20.21,1
20.2428,1
20.2756,1
20.3084,1
20.3412,1
20.374,1
20.4068,1
20.4396,1
20.4724,1
20.5052,1
20.5381,1
20.5709,1
20.6037,1
20.6365,1
20.6693,1
20.7021,1
20.7349,1
20.7677,1
20.8005,1
20.8333,1
20.8661,1
20.899,1
20.9318,1
20.9646,1
20.9974,1
21.0302,1
21.063,1
21.0958,1
21.1286,1
21.1614,1
21.1942,1
21.227,1
21.2598,1
21.2927,1
21.3255,1
21.3583,1
21.3911,1
21.4239,1
21.4567,1
21.4895,1
21.5223,1
21.5551,1
21.5879,1
21.6207,1
21.6535,1
21.6864,1
21.7192,1
21.752,1
21.7848,1
21.8176,1
21.8504,1
21.8832,1
21.916,1
21.9488,1
21.9816,1
22.0144,1
22.0472,1
22.0801,1
22.1129,1
22.1457,1
22.1785,1
22.2113,1
22.2441,1
22.2769,1
22.3097,1
22.3425,1
22.3753,1
22.4081,1
22.4409,1
22.4738,1
22.5066,1
22.5394,1
22.5722,1
22.605,1
22.6378,1
