Water Depth [ft],Factor
0.0,0.0
0.0328,0.005
0.0656,0.01
0.0984,0.015
0.1312,0.02
0.164,0.025
0.1969,0.03
0.2297,0.035
0.2625,0.04
0.2953,0.045
0.3281,0.05
0.3609,0.055
0.3937,0.06
0.4265,0.065
0.4593,0.07
0.4921,0.075
0.5249,0.08
0.5577,0.085
0.5906,0.09
0.6234,0.095
0.6562,0.1
0.689,0.105
0.7218,0.11
0.7546,0.115
0.7874,0.12
0.8202,0.125
0.853,0.13
0.8858,0.135
0.9186,0.14
0.9514,0.145
0.9843,0.15
1.0171,0.155
1.0499,0.16
1.0827,0.165
1.1155,0.17
1.1483,0.175
1.1811,0.18
1.2139,0.185
1.2467,0.19
1.2795,0.195
1.3123,0.2
1.3451,0.205
1.378,0.21
1.4108,0.215
1.4436,0.22
1.4764,0.225
1.5092,0.23
1.542,0.235
1.5748,0.24
1.6076,0.245
1.6404,0.25
1.6732,0.2534
1.706,0.2568
1.7388,0.2602
1.7717,0.2636
1.8045,0.267
1.8373,0.2704
1.8701,0.2738
1.9029,0.2772
1.9357,0.2806
1.9685,0.284
2.0013,0.2874
2.0341,0.2908
2.0669,0.2942
2.0997,0.2976
2.1325,0.301
2.1654,0.3044
2.1982,0.3078
2.231,0.3112
2.2638,0.3146
2.2966,0.318
2.3294,0.3214
2.3622,0.3248
2.395,0.3282
2.4278,0.3316
2.4606,0.335
2.4934,0.3384
2.5262,0.3418
2.5591,0.3452
2.5919,0.3486
2.6247,0.352
2.6575,0.3554
2.6903,0.3588
2.7231,0.3622
2.7559,0.3656
2.7887,0.369
2.8215,0.3724
2.8543,0.3758
2.8871,0.3792
2.9199,0.3826
2.9528,0.386
2.9856,0.3894
3.0184,0.3928
3.0512,0.3962
3.084,0.3996
3.1168,0.403
3.1496,0.4064
3.1824,0.4098
3.2152,0.4132
3.248,0.4166
3.2808,0.42
3.3136,0.4226
3.3465,0.4252
3.3793,0.4278
3.4121,0.4304
3.4449,0.433
3.4777,0.4356
3.5105,0.4382
3.5433,0.4408
3.5761,0.4434
3.6089,0.446
3.6417,0.4486
3.6745,0.4512
3.7073,0.4538
3.7402,0.4564
3.773,0.459
3.8058,0.4616
3.8386,0.4642
3.8714,0.4668
3.9042,0.4694
3.937,0.472
3.9698,0.4746
4.0026,0.4772
4.0354,0.4798
4.0682,0.4824
4.101,0.485
4.1339,0.4876
4.1667,0.4902
4.1995,0.4928
4.2323,0.4954
4.2651,0.498
4.2979,0.5006
4.3307,0.5032
4.3635,0.5058
4.3963,0.5084
4.4291,0.511
4.4619,0.5136
4.4948,0.5162
4.5276,0.5188
4.5604,0.5214
4.5932,0.524
4.626,0.5266
4.6588,0.5292
4.6916,0.5318
4.7244,0.5344
4.7572,0.537
4.79,0.5396
4.8228,0.5422
4.8556,0.5448
4.8885,0.5474
4.9213,0.55
4.9541,0.552
4.9869,0.554
5.0197,0.556
5.0525,0.558
5.0853,0.56
5.1181,0.562
5.1509,0.564
5.1837,0.566
5.2165,0.568
5.2493,0.57
5.2822,0.572
5.315,0.574
5.3478,0.576
5.3806,0.578
5.4134,0.58
5.4462,0.582
5.479,0.584
5.5118,0.586
5.5446,0.588
5.5774,0.59
5.6102,0.592
5.643,0.594
5.6759,0.596
5.7087,0.598
5.7415,0.6
5.7743,0.602
5.8071,0.604
5.8399,0.606
5.8727,0.608
5.9055,0.61
5.9383,0.612
5.9711,0.614
6.0039,0.616
6.0367,0.618
6.0696,0.62
6.1024,0.622
6.1352,0.624
6.168,0.626
6.2008,0.628
6.2336,0.63
6.2664,0.632
6.2992,0.634
6.332,0.636
6.3648,0.638
6.3976,0.64
6.4304,0.642
6.4633,0.644
6.4961,0.646
