Water Depth [inch],Factor
0.0,0.0
0.3937,0.0067
0.7874,0.0133
1.1811,0.02
1.5748,0.0266
1.9685,0.0333
2.3622,0.04
2.7559,0.0466
3.1496,0.0533
3.5433,0.06
3.937,0.0666
4.3307,0.0733
4.7244,0.0799
5.1181,0.0866
5.5118,0.0933
5.9055,0.0999
6.2992,0.1066
6.6929,0.1133
7.0866,0.1199
7.4803,0.1266
7.874,0.1332
8.2677,0.1399
8.6614,0.1466
9.0551,0.1532
9.4488,0.1599
9.8425,0.1666
10.2362,0.1732
10.6299,0.1799
11.0236,0.1865
11.4173,0.1932
11.811,0.1999
12.2047,0.2065
12.5984,0.2132
12.9921,0.2198
13.3858,0.2265
13.7795,0.2332
14.1732,0.2398
14.5669,0.2465
14.9606,0.2532
15.3543,0.2598
15.748,0.2665
16.1417,0.2731
16.5354,0.2798
16.9291,0.2865
17.3228,0.2931
17.7165,0.2998
18.1102,0.3065
18.5039,0.3131
18.8976,0.3198
19.2913,0.3264
19.685,0.3331
20.0787,0.3363
20.4724,0.3395
20.8661,0.3427
21.2598,0.3459
21.6535,0.3491
22.0472,0.3523
22.4409,0.3555
22.8346,0.3587
23.2283,0.3619
23.622,0.3651
24.0157,0.3683
24.4094,0.3715
24.8031,0.3747
25.1969,0.3779
25.5906,0.3811
25.9843,0.3843
26.378,0.3875
26.7717,0.3907
27.1654,0.3939
27.5591,0.3971
27.9528,0.4003
28.3465,0.4035
28.7402,0.4067
29.1339,0.4099
29.5276,0.4131
29.9213,0.4163
30.315,0.4195
30.7087,0.4227
31.1024,0.4259
31.4961,0.4291
31.8898,0.4323
32.2835,0.4355
32.6772,0.4387
33.0709,0.4419
33.4646,0.4451
33.8583,0.4483
34.252,0.4515
34.6457,0.4547
35.0394,0.4579
35.4331,0.4611
35.8268,0.4643
36.2205,0.4675
36.6142,0.4707
37.0079,0.4739
37.4016,0.4771
37.7953,0.4803
38.189,0.4835
38.5827,0.4867
38.9764,0.4899
39.3701,0.4931
39.7638,0.4957
40.1575,0.4983
40.5512,0.5009
40.9449,0.5035
41.3386,0.506
41.7323,0.5086
42.126,0.5112
42.5197,0.5138
42.9134,0.5164
43.3071,0.519
43.7008,0.5216
44.0945,0.5242
44.4882,0.5267
44.8819,0.5293
45.2756,0.5319
45.6693,0.5345
46.063,0.5371
46.4567,0.5397
46.8504,0.5423
47.2441,0.5449
47.6378,0.5474
48.0315,0.55
48.4252,0.5526
48.8189,0.5552
49.2126,0.5578
49.6063,0.5604
50,0.563
50.3937,0.5656
50.7874,0.5681
51.1811,0.5707
51.5748,0.5733
51.9685,0.5759
52.3622,0.5785
52.7559,0.5811
53.1496,0.5837
53.5433,0.5863
53.937,0.5888
54.3307,0.5914
54.7244,0.594
55.1181,0.5966
55.5118,0.5992
55.9055,0.6018
56.2992,0.6044
56.6929,0.607
57.0866,0.6095
57.4803,0.6121
57.874,0.6147
58.2677,0.6173
58.6614,0.6199
59.0551,0.6225
59.4488,0.6245
59.8425,0.6265
60.2362,0.6285
60.6299,0.6305
61.0236,0.6325
61.4173,0.6345
61.811,0.6365
62.2047,0.6385
62.5984,0.6405
62.9921,0.6425
63.3858,0.6445
63.7795,0.6465
64.1732,0.6485
64.5669,0.6505
64.9606,0.6525
65.3543,0.6545
65.748,0.6565
66.1417,0.6585
66.5354,0.6605
66.9291,0.6625
67.3228,0.6645
67.7165,0.6665
68.1102,0.6685
68.5039,0.6705
68.8976,0.6725
69.2913,0.6745
69.685,0.6765
70.0787,0.6785
70.4724,0.6805
70.8661,0.6825
71.2598,0.6845
71.6535,0.6865
72.0472,0.6885
72.4409,0.6905
