Water Depth [inch],Factor
0.0,0.0
0.3937,0.005
0.7874,0.01
1.1811,0.015
1.5748,0.02
1.9685,0.025
2.3622,0.03
2.7559,0.035
3.1496,0.04
3.5433,0.045
3.937,0.05
4.3307,0.055
4.7244,0.06
5.1181,0.065
5.5118,0.07
5.9055,0.075
6.2992,0.08
6.6929,0.085
7.0866,0.09
7.4803,0.095
7.874,0.1
8.2677,0.105
8.6614,0.11
9.0551,0.115
9.4488,0.12
9.8425,0.125
10.2362,0.13
10.6299,0.135
11.0236,0.14
11.4173,0.145
11.811,0.15
12.2047,0.155
12.5984,0.16
12.9921,0.165
13.3858,0.17
13.7795,0.175
14.1732,0.18
14.5669,0.185
14.9606,0.19
15.3543,0.195
15.748,0.2
16.1417,0.205
16.5354,0.21
16.9291,0.215
17.3228,0.22
17.7165,0.225
18.1102,0.23
18.5039,0.235
18.8976,0.24
19.2913,0.245
19.685,0.25
20.0787,0.2534
20.4724,0.2568
20.8661,0.2602
21.2598,0.2636
21.6535,0.267
22.0472,0.2704
22.4409,0.2738
22.8346,0.2772
23.2283,0.2806
23.622,0.284
24.0157,0.2874
24.4094,0.2908
24.8031,0.2942
25.1969,0.2976
25.5906,0.301
25.9843,0.3044
26.378,0.3078
26.7717,0.3112
27.1654,0.3146
27.5591,0.318
27.9528,0.3214
28.3465,0.3248
28.7402,0.3282
29.1339,0.3316
29.5276,0.335
29.9213,0.3384
30.315,0.3418
30.7087,0.3452
31.1024,0.3486
31.4961,0.352
31.8898,0.3554
32.2835,0.3588
32.6772,0.3622
33.0709,0.3656
33.4646,0.369
33.8583,0.3724
34.252,0.3758
34.6457,0.3792
35.0394,0.3826
35.4331,0.386
35.8268,0.3894
36.2205,0.3928
36.6142,0.3962
37.0079,0.3996
37.4016,0.403
37.7953,0.4064
38.189,0.4098
38.5827,0.4132
38.9764,0.4166
39.3701,0.42
39.7638,0.4226
40.1575,0.4252
40.5512,0.4278
40.9449,0.4304
41.3386,0.433
41.7323,0.4356
42.126,0.4382
42.5197,0.4408
42.9134,0.4434
43.3071,0.446
43.7008,0.4486
44.0945,0.4512
44.4882,0.4538
44.8819,0.4564
45.2756,0.459
45.6693,0.4616
46.063,0.4642
46.4567,0.4668
46.8504,0.4694
47.2441,0.472
47.6378,0.4746
48.0315,0.4772
48.4252,0.4798
48.8189,0.4824
49.2126,0.485
49.6063,0.4876
50,0.4902
50.3937,0.4928
50.7874,0.4954
51.1811,0.498
51.5748,0.5006
51.9685,0.5032
52.3622,0.5058
52.7559,0.5084
53.1496,0.511
53.5433,0.5136
53.937,0.5162
54.3307,0.5188
54.7244,0.5214
55.1181,0.524
55.5118,0.5266
55.9055,0.5292
56.2992,0.5318
56.6929,0.5344
57.0866,0.537
57.4803,0.5396
57.874,0.5422
58.2677,0.5448
58.6614,0.5474
59.0551,0.55
59.4488,0.552
59.8425,0.554
60.2362,0.556
60.6299,0.558
61.0236,0.56
61.4173,0.562
61.811,0.564
62.2047,0.566
62.5984,0.568
62.9921,0.57
63.3858,0.572
63.7795,0.574
64.1732,0.576
64.5669,0.578
64.9606,0.58
65.3543,0.582
65.748,0.584
66.1417,0.586
66.5354,0.588
66.9291,0.59
67.3228,0.592
67.7165,0.594
68.1102,0.596
68.5039,0.598
68.8976,0.6
69.2913,0.602
69.685,0.604
70.0787,0.606
70.4724,0.608
70.8661,0.61
71.2598,0.612
71.6535,0.614
72.0472,0.616
72.4409,0.618
72.8346,0.62
73.2283,0.622
73.622,0.624
74.0157,0.626
74.4094,0.628
74.8031,0.63
75.1969,0.632
75.5906,0.634
75.9843,0.636
76.378,0.638
76.7717,0.64
77.1654,0.642
77.5591,0.644
77.9528,0.646
78.3465,0.648
78.7402,0.65
79.1339,0.6515
79.5276,0.653
79.9213,0.6545
80.315,0.656
80.7087,0.6575
81.1024,0.659
81.4961,0.6605
81.8898,0.662
82.2835,0.6635
82.6772,0.665
83.0709,0.6665
83.4646,0.668
83.8583,0.6695
84.252,0.671
84.6457,0.6725
85.0394,0.674
85.4331,0.6755
85.8268,0.677
86.2205,0.6785
86.6142,0.68
87.0079,0.6815
87.4016,0.683
87.7953,0.6845
88.189,0.686
88.5827,0.6875
88.9764,0.689
89.3701,0.6905
89.7638,0.692
90.1575,0.6935
90.5512,0.695
90.9449,0.6965
91.3386,0.698
91.7323,0.6995
92.126,0.701
92.5197,0.7025
92.9134,0.704
93.3071,0.7055
93.7008,0.707
94.0945,0.7085
94.4882,0.71
94.8819,0.7115
95.2756,0.713
95.6693,0.7145
96.063,0.716
96.4567,0.7175
96.8504,0.719
97.2441,0.7205
97.6378,0.722
98.0315,0.7235
98.4252,0.725
98.8189,0.7265
99.2126,0.728
99.6063,0.7295
100,0.731
100.3937,0.7325
100.7874,0.734
101.1811,0.7355
101.5748,0.737
101.9685,0.7385
102.3622,0.74
102.7559,0.7415
103.1496,0.743
103.5433,0.7445
103.937,0.746
104.3307,0.7475
104.7244,0.749
105.1181,0.7505
105.5118,0.752
105.9055,0.7535
106.2992,0.755
106.6929,0.7565
107.0866,0.758
107.4803,0.7595
107.874,0.761
108.2677,0.7625
108.6614,0.764
109.0551,0.7655
109.4488,0.767
109.8425,0.7685
110.2362,0.77
110.6299,0.7715
111.0236,0.773
111.4173,0.7745
111.811,0.776
112.2047,0.7775
