Water Depth [inch],Factor
0,0
0.3937,0.0096
0.7874,0.0193
1.1811,0.0289
1.5748,0.0386
1.9685,0.0481
2.3622,0.0578
2.7559,0.0674
3.1496,0.0771
3.5433,0.0867
3.937,0.0964
4.3307,0.106
4.7244,0.1157
5.1181,0.1253
5.5118,0.135
5.9055,0.1446
6.2992,0.1543
6.6929,0.1639
7.0866,0.1736
7.4803,0.1832
7.874,0.1929
8.2677,0.1977
8.6614,0.2024
9.0551,0.2072
9.4488,0.212
9.8425,0.2168
10.2362,0.2215
10.6299,0.2263
11.0236,0.2311
11.4173,0.2358
11.811,0.2406
12.2047,0.2454
12.5984,0.2502
12.9921,0.2549
13.3858,0.2597
13.7795,0.2645
14.1732,0.2693
14.5669,0.274
14.9606,0.2788
15.3543,0.2836
15.748,0.2884
16.1417,0.2931
16.5354,0.2979
16.9291,0.3027
17.3228,0.3075
17.7165,0.3122
18.1102,0.317
18.5039,0.3218
18.8976,0.3266
19.2913,0.3313
19.685,0.3361
20.0787,0.3409
20.4724,0.3456
20.8661,0.3504
21.2598,0.3552
21.6535,0.36
22.0472,0.3646
22.4409,0.3693
22.8346,0.374
23.2283,0.3787
23.622,0.3833
24.0157,0.388
24.4094,0.3926
24.8031,0.3973
25.1969,0.402
25.5906,0.4066
25.9843,0.4113
26.378,0.416
26.7717,0.4206
27.1654,0.4253
27.5591,0.43
27.9528,0.4327
28.3465,0.4355
28.7402,0.4383
29.1339,0.4411
29.5276,0.4439
29.9213,0.4467
30.315,0.4495
30.7087,0.4523
31.1024,0.455
31.4961,0.4578
31.8898,0.4606
32.2835,0.4634
32.6772,0.4662
33.0709,0.469
33.4646,0.4718
33.8583,0.4746
34.252,0.4773
34.6457,0.4801
35.0394,0.4829
35.4331,0.4857
35.8268,0.4885
36.2205,0.4913
36.6142,0.4941
37.0079,0.4969
37.4016,0.4996
37.7953,0.5024
38.189,0.5052
38.5827,0.508
38.9764,0.5108
39.3701,0.5136
39.7638,0.5164
40.1575,0.5192
40.5512,0.5219
40.9449,0.5247
41.3386,0.5275
41.7323,0.5303
42.126,0.533
42.5197,0.5358
42.9134,0.5385
43.3071,0.5413
43.7008,0.544
44.0945,0.5468
44.4882,0.5495
44.8819,0.5523
45.2756,0.555
45.6693,0.5578
46.063,0.5605
46.4567,0.5633
46.8504,0.566
47.2441,0.5688
47.6378,0.5708
48.0315,0.5728
48.4252,0.5748
48.8189,0.5768
49.2126,0.5788
49.6063,0.5808
50,0.5828
50.3937,0.5848
50.7874,0.5868
51.1811,0.5888
51.5748,0.5908
51.9685,0.5928
52.3622,0.5948
52.7559,0.5968
53.1496,0.5988
53.5433,0.6008
53.937,0.6028
54.3307,0.6048
54.7244,0.6068
55.1181,0.6088
55.5118,0.6108
55.9055,0.6128
56.2992,0.6148
56.6929,0.6168
57.0866,0.6188
57.4803,0.6208
57.874,0.6228
58.2677,0.6248
58.6614,0.6268
59.0551,0.6288
59.4488,0.6308
59.8425,0.6328
60.2362,0.6348
60.6299,0.6368
61.0236,0.6388
61.4173,0.6408
61.811,0.6427
62.2047,0.6447
62.5984,0.6467
62.9921,0.6487
63.3858,0.6506
63.7795,0.6526
64.1732,0.6546
64.5669,0.6566
64.9606,0.6585
65.3543,0.6605
65.748,0.6625
66.1417,0.6645
66.5354,0.6664
66.9291,0.6684
67.3228,0.6704
67.7165,0.6724
68.1102,0.6743
68.5039,0.6763
68.8976,0.6783
69.2913,0.6803
69.685,0.6822
70.0787,0.6842
70.4724,0.6862
70.8661,0.6882
71.2598,0.6901
71.6535,0.6921
72.0472,0.6941
72.4409,0.6961
72.8346,0.698
73.2283,0.7
73.622,0.702
74.0157,0.704
74.4094,0.7059
74.8031,0.7079
75.1969,0.7099
75.5906,0.7119
75.9843,0.7138
76.378,0.7158
76.7717,0.7178
77.1654,0.7198
77.5591,0.7217
77.9528,0.7237
78.3465,0.7257
78.7402,0.7277
79.1339,0.7296
79.5276,0.7316
79.9213,0.7336
80.315,0.7356
80.7087,0.7375
81.1024,0.7395
81.4961,0.7415
