Water Depth [m],Factor
0,0
0.01,0.0046
0.02,0.0092
0.03,0.0138
0.04,0.0184
0.05,0.023
0.06,0.0276
0.07,0.0322
0.08,0.0368
0.09,0.0414
0.1,0.046
0.11,0.0506
0.12,0.0552
0.13,0.0598
0.14,0.0644
0.15,0.069
0.16,0.0736
0.17,0.0782
0.18,0.0828
0.19,0.0874
0.2,0.092
0.21,0.0966
0.22,0.1012
0.23,0.1058
0.24,0.1104
0.25,0.115
0.26,0.1196
0.27,0.1242
0.28,0.1288
0.29,0.1334
0.3,0.138
0.31,0.1426
0.32,0.1472
0.33,0.1518
0.34,0.1564
0.35,0.161
0.36,0.1656
0.37,0.1702
0.38,0.1748
0.39,0.1794
0.4,0.1839
0.41,0.1885
0.42,0.1931
0.43,0.1977
0.44,0.2023
0.45,0.2069
0.46,0.2115
0.47,0.2161
0.48,0.2207
0.49,0.2253
0.5,0.2299
0.51,0.2331
0.52,0.2363
0.53,0.2395
0.54,0.2427
0.55,0.2459
0.56,0.2491
0.57,0.2523
0.58,0.2555
0.59,0.2587
0.6,0.2619
0.61,0.2651
0.62,0.2683
0.63,0.2715
0.64,0.2747
0.65,0.2779
0.66,0.2811
0.67,0.2843
0.68,0.2875
0.69,0.2907
0.7,0.2939
0.71,0.2971
0.72,0.3003
0.73,0.3035
0.74,0.3067
0.75,0.3099
0.76,0.3131
0.77,0.3163
0.78,0.3195
0.79,0.3227
0.8,0.3259
0.81,0.3291
0.82,0.3323
0.83,0.3355
0.84,0.3387
0.85,0.3419
0.86,0.3451
0.87,0.3483
0.88,0.3515
0.89,0.3547
0.9,0.3579
0.91,0.3611
0.92,0.3643
0.93,0.3675
0.94,0.3707
0.95,0.3739
0.96,0.3771
0.97,0.3803
0.98,0.3835
0.99,0.3867
1,0.3899
1.01,0.3929
1.02,0.3959
1.03,0.3988
1.04,0.4018
1.05,0.4048
1.06,0.4077
1.07,0.4107
1.08,0.4136
1.09,0.4166
1.1,0.4196
1.11,0.4225
1.12,0.4255
1.13,0.4285
1.14,0.4314
1.15,0.4344
1.16,0.4373
1.17,0.4403
1.18,0.4433
1.19,0.4462
1.2,0.4492
1.21,0.4522
1.22,0.4551
1.23,0.4581
1.24,0.461
1.25,0.464
1.26,0.467
1.27,0.4699
1.28,0.4729
1.29,0.4759
1.3,0.4788
1.31,0.4818
1.32,0.4847
1.33,0.4877
1.34,0.4907
1.35,0.4936
1.36,0.4966
1.37,0.4996
1.38,0.5025
1.39,0.5055
1.4,0.5084
1.41,0.5114
1.42,0.5144
1.43,0.5173
1.44,0.5203
1.45,0.5233
1.46,0.5262
1.47,0.5292
1.48,0.5321
1.49,0.5351
1.5,0.5381
1.51,0.5403
1.52,0.5424
1.53,0.5446
1.54,0.5468
1.55,0.549
1.56,0.5512
1.57,0.5534
1.58,0.5556
1.59,0.5578
1.6,0.5599
1.61,0.5621
1.62,0.5643
1.63,0.5665
1.64,0.5687
1.65,0.5709
1.66,0.5731
1.67,0.5753
1.68,0.5775
1.69,0.5796
1.7,0.5818
1.71,0.584
1.72,0.5862
1.73,0.5884
1.74,0.5906
1.75,0.5928
1.76,0.595
1.77,0.5971
1.78,0.5993
1.79,0.6015
1.8,0.6037
1.81,0.6059
1.82,0.6081
1.83,0.6103
1.84,0.6125
1.85,0.6146
1.86,0.6168
1.87,0.619
1.88,0.6212
1.89,0.6234
1.9,0.6256
1.91,0.6278
1.92,0.63
1.93,0.6321
1.94,0.6343
1.95,0.6365
1.96,0.6387
1.97,0.6409
1.98,0.6431
1.99,0.6453
2,0.6475
2.01,0.6492
2.02,0.651
2.03,0.6527
2.04,0.6545
2.05,0.6563
2.06,0.658
2.07,0.6598
2.08,0.6616
2.09,0.6633
2.1,0.6651
2.11,0.6668
2.12,0.6686
2.13,0.6704
2.14,0.6721
2.15,0.6739
2.16,0.6757
2.17,0.6774
2.18,0.6792
2.19,0.6809
2.2,0.6827
2.21,0.6845
2.22,0.6862
2.23,0.688
2.24,0.6898
2.25,0.6915
2.26,0.6933
2.27,0.695
2.28,0.6968
2.29,0.6986
2.3,0.7003
2.31,0.7021
2.32,0.7039
2.33,0.7056
2.34,0.7074
2.35,0.7091
2.36,0.7109
2.37,0.7127
2.38,0.7144
2.39,0.7162
2.4,0.718
2.41,0.7197
2.42,0.7215
2.43,0.7233
2.44,0.725
2.45,0.7268
2.46,0.7285
2.47,0.7303
2.48,0.7321
2.49,0.7338
2.5,0.7356
2.51,0.7374
2.52,0.7391
2.53,0.7409
2.54,0.7426
2.55,0.7444
2.56,0.7462
2.57,0.7479
2.58,0.7497
2.59,0.7515
2.6,0.7532
2.61,0.755
2.62,0.7567
2.63,0.7585
2.64,0.7603
2.65,0.762
2.66,0.7638
2.67,0.7656
2.68,0.7673
2.69,0.7691
2.7,0.7708
2.71,0.7726
2.72,0.7744
2.73,0.7761
2.74,0.7779
2.75,0.7797
2.76,0.7814
2.77,0.7832
2.78,0.7849
2.79,0.7867
2.8,0.7885
2.81,0.7902
2.82,0.792
2.83,0.7938
2.84,0.7955
2.85,0.7973
2.86,0.799
2.87,0.8008
2.88,0.8026
2.89,0.8043
2.9,0.8061
2.91,0.8079
2.92,0.8096
2.93,0.8114
2.94,0.8132
2.95,0.8149
2.96,0.8167
2.97,0.8184
2.98,0.8202
2.99,0.822
3,0.8237
3.01,0.8245
3.02,0.8253
3.03,0.8261
3.04,0.8269
3.05,0.8277
3.06,0.8285
3.07,0.8292
3.08,0.83
3.09,0.8308
3.1,0.8316
3.11,0.8324
3.12,0.8332
3.13,0.834
3.14,0.8348
3.15,0.8355
3.16,0.8363
3.17,0.8371
3.18,0.8379
3.19,0.8387
3.2,0.8395
3.21,0.8403
3.22,0.8411
3.23,0.8418
3.24,0.8426
3.25,0.8434
3.26,0.8442
3.27,0.845
3.28,0.8458
3.29,0.8466
3.3,0.8474
3.31,0.8481
3.32,0.8489
3.33,0.8497
3.34,0.8505
3.35,0.8513
3.36,0.8521
3.37,0.8529
3.38,0.8537
3.39,0.8544
3.4,0.8552
3.41,0.856
3.42,0.8568
3.43,0.8576
3.44,0.8584
3.45,0.8592
