Water Depth [m],Factor
0.0,0.0
0.01,0.0049
0.02,0.0098
0.03,0.0146
0.04,0.0195
0.05,0.0244
0.06,0.0293
0.07,0.0341
0.08,0.039
0.09,0.0439
0.1,0.0488
0.11,0.0536
0.12,0.0585
0.13,0.0634
0.14,0.0683
0.15,0.0731
0.16,0.078
0.17,0.0829
0.18,0.0878
0.19,0.0926
0.2,0.0975
0.21,0.1024
0.22,0.1073
0.23,0.1121
0.24,0.117
0.25,0.1219
0.26,0.1268
0.27,0.1316
0.28,0.1365
0.29,0.1414
0.3,0.1463
0.31,0.1511
0.32,0.156
0.33,0.1609
0.34,0.1658
0.35,0.1707
0.36,0.1755
0.37,0.1804
0.38,0.1853
0.39,0.1902
0.4,0.195
0.41,0.1999
0.42,0.2048
0.43,0.2097
0.44,0.2145
0.45,0.2194
0.46,0.2243
0.47,0.2292
0.48,0.234
0.49,0.2389
0.5,0.2438
0.51,0.2468
0.52,0.2498
0.53,0.2528
0.54,0.2558
0.55,0.2588
0.56,0.2618
0.57,0.2648
0.58,0.2678
0.59,0.2708
0.6,0.2738
0.61,0.2768
0.62,0.2798
0.63,0.2828
0.64,0.2858
0.65,0.2888
0.66,0.2918
0.67,0.2948
0.68,0.2978
0.69,0.3008
0.7,0.3038
0.71,0.3068
0.72,0.3098
0.73,0.3128
0.74,0.3158
0.75,0.3188
0.76,0.3218
0.77,0.3248
0.78,0.3278
0.79,0.3308
0.8,0.3338
0.81,0.3368
0.82,0.3398
0.83,0.3428
0.84,0.3458
0.85,0.3488
0.86,0.3518
0.87,0.3548
0.88,0.3578
0.89,0.3608
0.9,0.3638
0.91,0.3668
0.92,0.3698
0.93,0.3728
0.94,0.3758
0.95,0.3788
0.96,0.3818
0.97,0.3848
0.98,0.3878
0.99,0.3908
1,0.3938
1.01,0.3959
1.02,0.3979
1.03,0.4
1.04,0.402
1.05,0.4041
1.06,0.4062
1.07,0.4082
1.08,0.4103
1.09,0.4123
1.1,0.4144
1.11,0.4165
