Water Depth [m],Factor
0,0
0.01,0.0074
0.02,0.0149
0.03,0.0223
0.04,0.0297
0.05,0.0372
0.06,0.0446
0.07,0.0521
0.08,0.0595
0.09,0.0669
0.1,0.0744
0.11,0.0818
0.12,0.0892
0.13,0.0967
0.14,0.1041
0.15,0.1116
0.16,0.119
0.17,0.1264
0.18,0.1339
0.19,0.1413
0.2,0.1487
0.21,0.1562
0.22,0.1636
0.23,0.171
0.24,0.1785
0.25,0.1859
0.26,0.1934
0.27,0.2008
0.28,0.2082
0.29,0.2157
0.3,0.2231
0.31,0.2305
0.32,0.238
0.33,0.2454
0.34,0.2529
0.35,0.2603
0.36,0.2677
0.37,0.2752
0.38,0.2826
0.39,0.29
0.4,0.2975
0.41,0.3049
0.42,0.3124
0.43,0.3198
0.44,0.3272
0.45,0.3347
0.46,0.3421
0.47,0.3495
0.48,0.357
0.49,0.3644
0.5,0.3718
0.51,0.3754
0.52,0.379
0.53,0.3826
0.54,0.3862
0.55,0.3898
0.56,0.3933
0.57,0.3969
0.58,0.4005
0.59,0.4041
0.6,0.4077
0.61,0.4112
0.62,0.4148
0.63,0.4184
0.64,0.422
0.65,0.4256
0.66,0.4292
0.67,0.4327
0.68,0.4363
0.69,0.4399
0.7,0.4435
0.71,0.4471
0.72,0.4507
0.73,0.4542
0.74,0.4578
0.75,0.4614
0.76,0.465
0.77,0.4686
0.78,0.4721
0.79,0.4757
0.8,0.4793
0.81,0.4829
0.82,0.4865
0.83,0.4901
0.84,0.4936
0.85,0.4972
0.86,0.5008
0.87,0.5044
0.88,0.508
0.89,0.5115
0.9,0.5151
0.91,0.5187
0.92,0.5223
0.93,0.5259
0.94,0.5295
0.95,0.533
0.96,0.5366
0.97,0.5402
0.98,0.5438
0.99,0.5474
1,0.5509
1.01,0.5533
1.02,0.5557
1.03,0.558
1.04,0.5604
1.05,0.5628
1.06,0.5651
1.07,0.5675
1.08,0.5699
1.09,0.5722
1.1,0.5746
1.11,0.5769
1.12,0.5793
1.13,0.5817
1.14,0.584
1.15,0.5864
1.16,0.5888
1.17,0.5911
1.18,0.5935
1.19,0.5958
1.2,0.5982
1.21,0.6006
1.22,0.6029
1.23,0.6053
1.24,0.6077
1.25,0.61
1.26,0.6124
1.27,0.6147
1.28,0.6171
1.29,0.6195
1.3,0.6218
1.31,0.6242
1.32,0.6266
1.33,0.6289
1.34,0.6313
1.35,0.6337
1.36,0.636
1.37,0.6384
1.38,0.6407
1.39,0.6431
1.4,0.6455
1.41,0.6478
1.42,0.6502
1.43,0.6526
1.44,0.6549
1.45,0.6573
1.46,0.6596
1.47,0.662
1.48,0.6644
1.49,0.6667
1.5,0.6691
1.51,0.6711
1.52,0.6732
1.53,0.6752
1.54,0.6772
1.55,0.6792
1.56,0.6813
1.57,0.6833
1.58,0.6853
1.59,0.6874
1.6,0.6894
1.61,0.6914
1.62,0.6934
1.63,0.6955
1.64,0.6975
1.65,0.6995
1.66,0.7016
1.67,0.7036
1.68,0.7056
1.69,0.7076
1.7,0.7097
1.71,0.7117
1.72,0.7137
1.73,0.7158
1.74,0.7178
1.75,0.7198
1.76,0.7219
1.77,0.7239
1.78,0.7259
1.79,0.7279
1.8,0.73
1.81,0.732
1.82,0.734
1.83,0.7361
1.84,0.7381
1.85,0.7401
1.86,0.7421
1.87,0.7442
1.88,0.7462
1.89,0.7482
1.9,0.7503
1.91,0.7523
1.92,0.7543
1.93,0.7563
1.94,0.7584
1.95,0.7604
1.96,0.7624
1.97,0.7645
1.98,0.7665
1.99,0.7685
2,0.7705
2.01,0.7717
2.02,0.7728
2.03,0.7739
2.04,0.775
2.05,0.7761
2.06,0.7772
2.07,0.7783
2.08,0.7794
2.09,0.7805
2.1,0.7816
2.11,0.7827
2.12,0.7838
2.13,0.7849
2.14,0.786
2.15,0.7871
2.16,0.7882
2.17,0.7893
2.18,0.7904
2.19,0.7915
2.2,0.7927
2.21,0.7938
2.22,0.7949
2.23,0.796
2.24,0.7971
2.25,0.7982
2.26,0.7993
2.27,0.8004
2.28,0.8015
2.29,0.8026
2.3,0.8037
2.31,0.8048
2.32,0.8059
2.33,0.807
2.34,0.8081
2.35,0.8092
2.36,0.8103
2.37,0.8114
2.38,0.8126
2.39,0.8137
2.4,0.8148
2.41,0.8159
2.42,0.817
2.43,0.8181
2.44,0.8192
2.45,0.8203
2.46,0.8214
2.47,0.8225
2.48,0.8236
2.49,0.8247
2.5,0.8258
2.51,0.8269
2.52,0.828
2.53,0.8291
2.54,0.8302
2.55,0.8313
2.56,0.8325
2.57,0.8336
2.58,0.8347
2.59,0.8358
2.6,0.8369
2.61,0.838
2.62,0.8391
2.63,0.8402
2.64,0.8413
2.65,0.8424
2.66,0.8435
2.67,0.8446
2.68,0.8457
2.69,0.8468
2.7,0.8479
2.71,0.849
2.72,0.8501
2.73,0.8512
2.74,0.8524
2.75,0.8535
2.76,0.8546
2.77,0.8557
2.78,0.8568
2.79,0.8579
2.8,0.859
2.81,0.8601
2.82,0.8612
2.83,0.8623
2.84,0.8634
2.85,0.8645
2.86,0.8656
2.87,0.8667
2.88,0.8678
2.89,0.8689
2.9,0.87
2.91,0.8711
2.92,0.8722
2.93,0.8734
2.94,0.8745
2.95,0.8756
2.96,0.8767
2.97,0.8778
2.98,0.8789
2.99,0.88
3,0.8811
3.01,0.8817
3.02,0.8822
3.03,0.8828
3.04,0.8833
3.05,0.8839
3.06,0.8844
3.07,0.885
3.08,0.8856
3.09,0.8861
3.1,0.8867
