Water Depth [m],Factor
0.0,0.0
0.01,0.0096
0.02,0.0193
0.03,0.0289
0.04,0.0386
0.05,0.0481
0.06,0.0578
0.07,0.0674
0.08,0.0771
0.09,0.0867
0.1,0.0964
0.11,0.106
0.12,0.1157
0.13,0.1253
0.14,0.135
0.15,0.1446
0.16,0.1543
0.17,0.1639
0.18,0.1736
0.19,0.1832
0.2,0.1929
0.21,0.1977
0.22,0.2024
0.23,0.2072
0.24,0.212
0.25,0.2168
0.26,0.2215
0.27,0.2263
0.28,0.2311
0.29,0.2358
0.3,0.2406
0.31,0.2454
0.32,0.2502
0.33,0.2549
0.34,0.2597
0.35,0.2645
0.36,0.2693
0.37,0.274
0.38,0.2788
0.39,0.2836
0.4,0.2884
0.41,0.2931
0.42,0.2979
0.43,0.3027
0.44,0.3075
0.45,0.3122
0.46,0.317
0.47,0.3218
0.48,0.3266
0.49,0.3313
0.5,0.3361
0.51,0.3409
0.52,0.3456
0.53,0.3504
0.54,0.3552
0.55,0.36
0.56,0.3646
0.57,0.3693
0.58,0.374
0.59,0.3787
0.6,0.3833
0.61,0.388
0.62,0.3926
0.63,0.3973
0.64,0.402
0.65,0.4066
0.66,0.4113
0.67,0.416
0.68,0.4206
0.69,0.4253
0.7,0.43
0.71,0.4327
0.72,0.4355
0.73,0.4383
0.74,0.4411
0.75,0.4439
0.76,0.4467
0.77,0.4495
0.78,0.4523
0.79,0.455
0.8,0.4578
0.81,0.4606
0.82,0.4634
0.83,0.4662
0.84,0.469
0.85,0.4718
0.86,0.4746
0.87,0.4773
0.88,0.4801
0.89,0.4829
0.9,0.4857
0.91,0.4885
0.92,0.4913
0.93,0.4941
0.94,0.4969
0.95,0.4996
0.96,0.5024
0.97,0.5052
0.98,0.508
0.99,0.5108
1,0.5136
1.01,0.5164
1.02,0.5192
1.03,0.5219
1.04,0.5247
1.05,0.5275
1.06,0.5303
1.07,0.533
1.08,0.5358
1.09,0.5385
1.1,0.5413
1.11,0.544
1.12,0.5468
1.13,0.5495
1.14,0.5523
1.15,0.555
1.16,0.5578
1.17,0.5605
1.18,0.5633
1.19,0.566
1.2,0.5688
1.21,0.5708
1.22,0.5728
1.23,0.5748
1.24,0.5768
1.25,0.5788
1.26,0.5808
1.27,0.5828
1.28,0.5848
1.29,0.5868
1.3,0.5888
1.31,0.5908
1.32,0.5928
1.33,0.5948
1.34,0.5968
1.35,0.5988
1.36,0.6008
1.37,0.6028
1.38,0.6048
1.39,0.6068
1.4,0.6088
1.41,0.6108
1.42,0.6128
1.43,0.6148
1.44,0.6168
1.45,0.6188
1.46,0.6208
1.47,0.6228
1.48,0.6248
1.49,0.6268
1.5,0.6288
1.51,0.6308
1.52,0.6328
1.53,0.6348
1.54,0.6368
1.55,0.6388
1.56,0.6408
1.57,0.6427
1.58,0.6447
1.59,0.6467
1.6,0.6487
1.61,0.6506
1.62,0.6526
1.63,0.6546
1.64,0.6566
1.65,0.6585
1.66,0.6605
1.67,0.6625
1.68,0.6645
1.69,0.6664
