Water Depth [m],Factor
0,0
0.01,0.0093
0.02,0.0186
0.03,0.0279
0.04,0.0372
0.05,0.0465
0.06,0.0558
0.07,0.0651
0.08,0.0744
0.09,0.0837
0.1,0.093
0.11,0.1023
0.12,0.1116
0.13,0.1209
0.14,0.1302
0.15,0.1395
0.16,0.1488
0.17,0.1581
0.18,0.1674
0.19,0.1767
0.2,0.186
0.21,0.1953
0.22,0.2046
0.23,0.2139
0.24,0.2232
0.25,0.2325
0.26,0.2418
0.27,0.2512
0.28,0.2605
0.29,0.2698
0.3,0.2791
0.31,0.2884
0.32,0.2977
0.33,0.307
0.34,0.3163
0.35,0.3256
0.36,0.3349
0.37,0.3442
0.38,0.3535
0.39,0.3628
0.4,0.3721
0.41,0.3814
0.42,0.3907
0.43,0.4
0.44,0.4093
0.45,0.4186
0.46,0.4279
0.47,0.4372
0.48,0.4465
0.49,0.4558
0.5,0.4651
0.51,0.4684
0.52,0.4717
0.53,0.475
0.54,0.4783
0.55,0.4816
0.56,0.4849
0.57,0.4882
0.58,0.4915
0.59,0.4948
0.6,0.4981
0.61,0.5014
0.62,0.5047
0.63,0.508
0.64,0.5113
0.65,0.5146
0.66,0.5179
0.67,0.5212
0.68,0.5245
0.69,0.5278
0.7,0.5311
0.71,0.5344
0.72,0.5377
0.73,0.541
0.74,0.5443
0.75,0.5476
0.76,0.5509
0.77,0.5542
0.78,0.5575
0.79,0.5608
0.8,0.5641
0.81,0.5674
0.82,0.5707
0.83,0.574
0.84,0.5773
0.85,0.5806
0.86,0.5839
0.87,0.5872
0.88,0.5905
0.89,0.5938
0.9,0.5971
0.91,0.6004
0.92,0.6037
0.93,0.607
0.94,0.6103
0.95,0.6136
0.96,0.6169
0.97,0.6202
0.98,0.6235
0.99,0.6268
1,0.6301
1.01,0.6316
1.02,0.6332
1.03,0.6347
1.04,0.6363
1.05,0.6378
1.06,0.6394
1.07,0.6409
1.08,0.6425
1.09,0.644
1.1,0.6456
1.11,0.6471
1.12,0.6487
1.13,0.6502
1.14,0.6517
1.15,0.6533
1.16,0.6548
1.17,0.6564
1.18,0.6579
1.19,0.6595
1.2,0.661
1.21,0.6626
1.22,0.6641
1.23,0.6657
1.24,0.6672
1.25,0.6688
1.26,0.6703
1.27,0.6719
1.28,0.6734
1.29,0.675
1.3,0.6765
1.31,0.6781
1.32,0.6796
1.33,0.6812
1.34,0.6827
1.35,0.6843
1.36,0.6858
1.37,0.6874
1.38,0.6889
1.39,0.6905
1.4,0.692
1.41,0.6936
1.42,0.6951
1.43,0.6967
1.44,0.6982
1.45,0.6998
1.46,0.7013
1.47,0.7029
1.48,0.7044
1.49,0.706
1.5,0.7075
1.51,0.7093
1.52,0.711
1.53,0.7127
1.54,0.7145
1.55,0.7162
1.56,0.7179
1.57,0.7197
1.58,0.7214
1.59,0.7231
1.6,0.7249
1.61,0.7266
1.62,0.7284
1.63,0.7301
1.64,0.7318
1.65,0.7336
1.66,0.7353
1.67,0.737
1.68,0.7388
1.69,0.7405
1.7,0.7422
1.71,0.744
1.72,0.7457
1.73,0.7475
1.74,0.7492
1.75,0.7509
1.76,0.7527
1.77,0.7544
1.78,0.7561
1.79,0.7579
1.8,0.7596
1.81,0.7614
1.82,0.7631
1.83,0.7648
1.84,0.7666
1.85,0.7683
1.86,0.77
1.87,0.7718
1.88,0.7735
1.89,0.7752
1.9,0.777
1.91,0.7787
1.92,0.7805
1.93,0.7822
1.94,0.7839
1.95,0.7857
1.96,0.7874
1.97,0.7891
1.98,0.7909
1.99,0.7926
2,0.7943
2.01,0.7957
2.02,0.7971
2.03,0.7985
2.04,0.7999
2.05,0.8013
2.06,0.8027
2.07,0.8041
2.08,0.8055
2.09,0.8069
2.1,0.8083
2.11,0.8097
2.12,0.8111
2.13,0.8125
2.14,0.8139
2.15,0.8153
2.16,0.8167
2.17,0.8181
2.18,0.8195
2.19,0.8209
2.2,0.8223
2.21,0.8237
2.22,0.8251
2.23,0.8265
2.24,0.8279
2.25,0.8293
2.26,0.8307
2.27,0.8321
2.28,0.8335
2.29,0.8349
2.3,0.8363
2.31,0.8377
2.32,0.8391
2.33,0.8405
2.34,0.8419
2.35,0.8433
2.36,0.8447
2.37,0.8461
2.38,0.8475
2.39,0.8489
2.4,0.8503
2.41,0.8517
2.42,0.8531
2.43,0.8545
2.44,0.8559
2.45,0.8573
2.46,0.8587
2.47,0.8601
2.48,0.8615
2.49,0.8629
2.5,0.8643
2.51,0.8657
2.52,0.8671
2.53,0.8685
2.54,0.8699
2.55,0.8713
2.56,0.8727
2.57,0.8741
2.58,0.8755
2.59,0.8769
2.6,0.8783
2.61,0.8797
2.62,0.8811
2.63,0.8825
2.64,0.8839
2.65,0.8853
2.66,0.8867
2.67,0.8881
2.68,0.8895
2.69,0.8909
2.7,0.8923
2.71,0.8937
2.72,0.8951
2.73,0.8965
2.74,0.8979
2.75,0.8993
2.76,0.9007
2.77,0.9021
2.78,0.9035
2.79,0.9049
2.8,0.9063
2.81,0.9077
2.82,0.9091
2.83,0.9105
2.84,0.9119
2.85,0.9133
2.86,0.9147
2.87,0.9161
2.88,0.9175
2.89,0.9189
